"Production Type","2018 [MW]"
"Biomass","520"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","0"
"Fossil Gas","30683"
"Fossil Hard coal","9535"
"Fossil Oil","715"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","0"
"Hydro Pumped Storage","5645"
"Hydro Run-of-river and poundage","1156"
"Hydro Water Reservoir","19125"
"Marine","0"
"Nuclear","7117"
"Other","117"
"Other renewable","262"
"Solar","6722"
"Waste","544"
"Wind Offshore","0"
"Wind Onshore","22834"
"Total Grand capacity","104975"
