"Production Type","2018 [MW]"
"Biomass","598"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","6534"
"Fossil Hard coal","n/e"
"Fossil Oil","239"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1308"
"Hydro Run-of-river and poundage","171"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","5943"
"Other","N/A"
"Other renewable","n/e"
"Solar","2953"
"Waste","362"
"Wind Offshore","1178"
"Wind Onshore","1979"
"Total Grand capacity","21265"
