"Production Type","2018 [MW]"
"Biomass","2099"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","28755"
"Fossil Hard coal","11427"
"Fossil Oil","316"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","2744"
"Hydro Run-of-river and poundage","1758"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","8974"
"Other","8470"
"Other renewable","3132"
"Solar","12563"
"Waste","n/e"
"Wind Offshore","6071"
"Wind Onshore","13139"
"Total Grand capacity","99448"
