"Production Type","2018 [MW]"
"Biomass","51"
"Fossil Brown coal/Lignite","3912"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","5245"
"Fossil Hard coal","n/e"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","0"
"Hydro Pumped Storage","699"
"Hydro Run-of-river and poundage","299"
"Hydro Water Reservoir","2403"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","69"
"Solar","2441"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","2228"
"Total Grand capacity","17347"
