"Production Type","2018 [MW]"
"Biomass","251"
"Fossil Brown coal/Lignite","1049"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","4107"
"Fossil Hard coal","n/e"
"Fossil Oil","412"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","28"
"Hydro Water Reservoir","28"
"Marine","n/e"
"Nuclear","1899"
"Other","N/A"
"Other renewable","68"
"Solar","336"
"Waste","36"
"Wind Offshore","n/e"
"Wind Onshore","325"
"Total Grand capacity","8539"
