"Production Type","2018 [MW]"
"Biomass","8"
"Fossil Brown coal/Lignite","5668"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","3"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","642"
"Hydro Run-of-river and poundage","2038"
"Hydro Water Reservoir","369"
"Marine","n/e"
"Nuclear","n/e"
"Other","426"
"Other renewable","n/e"
"Solar","N/A"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","25"
"Total Grand capacity","9179"
