"Production Type","2018 [MW]"
"Biomass","224"
"Fossil Brown coal/Lignite","345"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1111"
"Fossil Hard coal","221"
"Fossil Oil","257"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","916"
"Hydro Run-of-river and poundage","1208"
"Hydro Water Reservoir","418"
"Marine","n/e"
"Nuclear","1940"
"Other","438"
"Other renewable","116"
"Solar","531"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","3"
"Total Grand capacity","7728"
