"Production Type","2018 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","210"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","n/e"
"Fossil Hard coal","210"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","N/A"
"Hydro Water Reservoir","662"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","72"
"Total Grand capacity","1154"
