"Time (CET)","Belgium (BE) > Netherlands (NL) [MW]","Netherlands (NL) > Belgium (BE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","736"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1226"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1264"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1373"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1678"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1753"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1803"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1316"
"01.01.2018 08:00 - 01.01.2018 09:00","0","826"
"01.01.2018 09:00 - 01.01.2018 10:00","0","439"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1138"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1634"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1752"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1682"
"01.01.2018 14:00 - 01.01.2018 15:00","0","177"
"01.01.2018 15:00 - 01.01.2018 16:00","989","0"
"01.01.2018 16:00 - 01.01.2018 17:00","1621","0"
"01.01.2018 17:00 - 01.01.2018 18:00","1971","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1853","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1782","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1634","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1442","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1673","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1658","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1811","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1988","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1952","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1756","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1339","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1317","0"
"02.01.2018 06:00 - 02.01.2018 07:00","1352","0"
"02.01.2018 07:00 - 02.01.2018 08:00","234","0"
"02.01.2018 08:00 - 02.01.2018 09:00","0","575"
"02.01.2018 09:00 - 02.01.2018 10:00","0","291"
"02.01.2018 10:00 - 02.01.2018 11:00","0","81"
"02.01.2018 11:00 - 02.01.2018 12:00","0","414"
"02.01.2018 12:00 - 02.01.2018 13:00","0","810"
"02.01.2018 13:00 - 02.01.2018 14:00","0","652"
"02.01.2018 14:00 - 02.01.2018 15:00","0","285"
"02.01.2018 15:00 - 02.01.2018 16:00","65","0"
"02.01.2018 16:00 - 02.01.2018 17:00","350","0"
"02.01.2018 17:00 - 02.01.2018 18:00","379","0"
"02.01.2018 18:00 - 02.01.2018 19:00","0","613"
"02.01.2018 19:00 - 02.01.2018 20:00","0","621"
"02.01.2018 20:00 - 02.01.2018 21:00","0","106"
"02.01.2018 21:00 - 02.01.2018 22:00","770","0"
"02.01.2018 22:00 - 02.01.2018 23:00","566","0"
"02.01.2018 23:00 - 03.01.2018 00:00","58","0"
"03.01.2018 00:00 - 03.01.2018 01:00","525","0"
"03.01.2018 01:00 - 03.01.2018 02:00","542","0"
"03.01.2018 02:00 - 03.01.2018 03:00","488","0"
"03.01.2018 03:00 - 03.01.2018 04:00","314","0"
"03.01.2018 04:00 - 03.01.2018 05:00","0","11"
"03.01.2018 05:00 - 03.01.2018 06:00","0","75"
"03.01.2018 06:00 - 03.01.2018 07:00","78","0"
"03.01.2018 07:00 - 03.01.2018 08:00","0","53"
"03.01.2018 08:00 - 03.01.2018 09:00","0","301"
"03.01.2018 09:00 - 03.01.2018 10:00","0","235"
"03.01.2018 10:00 - 03.01.2018 11:00","0","491"
"03.01.2018 11:00 - 03.01.2018 12:00","0","330"
"03.01.2018 12:00 - 03.01.2018 13:00","0","239"
"03.01.2018 13:00 - 03.01.2018 14:00","0","154"
"03.01.2018 14:00 - 03.01.2018 15:00","0","242"
"03.01.2018 15:00 - 03.01.2018 16:00","0","316"
"03.01.2018 16:00 - 03.01.2018 17:00","0","262"
"03.01.2018 17:00 - 03.01.2018 18:00","0","569"
"03.01.2018 18:00 - 03.01.2018 19:00","0","1124"
"03.01.2018 19:00 - 03.01.2018 20:00","0","988"
"03.01.2018 20:00 - 03.01.2018 21:00","0","585"
"03.01.2018 21:00 - 03.01.2018 22:00","0","292"
"03.01.2018 22:00 - 03.01.2018 23:00","0","868"
"03.01.2018 23:00 - 04.01.2018 00:00","0","1671"
"04.01.2018 00:00 - 04.01.2018 01:00","0","1784"
"04.01.2018 01:00 - 04.01.2018 02:00","0","1921"
"04.01.2018 02:00 - 04.01.2018 03:00","0","1773"
"04.01.2018 03:00 - 04.01.2018 04:00","0","1246"
"04.01.2018 04:00 - 04.01.2018 05:00","0","512"
"04.01.2018 05:00 - 04.01.2018 06:00","0","46"
"04.01.2018 06:00 - 04.01.2018 07:00","559","0"
"04.01.2018 07:00 - 04.01.2018 08:00","0","287"
"04.01.2018 08:00 - 04.01.2018 09:00","0","826"
"04.01.2018 09:00 - 04.01.2018 10:00","0","688"
"04.01.2018 10:00 - 04.01.2018 11:00","0","279"
"04.01.2018 11:00 - 04.01.2018 12:00","193","0"
"04.01.2018 12:00 - 04.01.2018 13:00","611","0"
"04.01.2018 13:00 - 04.01.2018 14:00","1364","0"
"04.01.2018 14:00 - 04.01.2018 15:00","2098","0"
"04.01.2018 15:00 - 04.01.2018 16:00","2195","0"
"04.01.2018 16:00 - 04.01.2018 17:00","2195","0"
"04.01.2018 17:00 - 04.01.2018 18:00","1789","0"
"04.01.2018 18:00 - 04.01.2018 19:00","392","0"
"04.01.2018 19:00 - 04.01.2018 20:00","0","395"
"04.01.2018 20:00 - 04.01.2018 21:00","0","182"
"04.01.2018 21:00 - 04.01.2018 22:00","87","0"
"04.01.2018 22:00 - 04.01.2018 23:00","0","723"
"04.01.2018 23:00 - 05.01.2018 00:00","0","1233"
"05.01.2018 00:00 - 05.01.2018 01:00","0","1000"
"05.01.2018 01:00 - 05.01.2018 02:00","0","617"
"05.01.2018 02:00 - 05.01.2018 03:00","0","767"
"05.01.2018 03:00 - 05.01.2018 04:00","0","355"
"05.01.2018 04:00 - 05.01.2018 05:00","0","80"
