"Time (CET)","United Kingdom (UK) > France (FR) [MW]","France (FR) > United Kingdom (UK) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1706"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1409"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1410"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1316"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1318"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1318"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1318"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1319"
"01.01.2018 08:00 - 01.01.2018 09:00","0","821"
"01.01.2018 09:00 - 01.01.2018 10:00","0","710"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1315"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1818"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1818"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1818"
"01.01.2018 14:00 - 01.01.2018 15:00","0","1818"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1812"
"01.01.2018 16:00 - 01.01.2018 17:00","0","2015"
"01.01.2018 17:00 - 01.01.2018 18:00","0","2016"
"01.01.2018 18:00 - 01.01.2018 19:00","0","2016"
"01.01.2018 19:00 - 01.01.2018 20:00","0","2016"
"01.01.2018 20:00 - 01.01.2018 21:00","0","2015"
"01.01.2018 21:00 - 01.01.2018 22:00","0","2016"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1814"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1617"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1614"
"02.01.2018 01:00 - 02.01.2018 02:00","0","1614"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1614"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1614"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1614"
"02.01.2018 05:00 - 02.01.2018 06:00","0","1615"
"02.01.2018 06:00 - 02.01.2018 07:00","0","1818"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1911"
"02.01.2018 08:00 - 02.01.2018 09:00","0","2013"
"02.01.2018 09:00 - 02.01.2018 10:00","0","2012"
"02.01.2018 10:00 - 02.01.2018 11:00","0","2013"
"02.01.2018 11:00 - 02.01.2018 12:00","0","2014"
"02.01.2018 12:00 - 02.01.2018 13:00","0","2013"
"02.01.2018 13:00 - 02.01.2018 14:00","0","2013"
"02.01.2018 14:00 - 02.01.2018 15:00","0","2012"
"02.01.2018 15:00 - 02.01.2018 16:00","0","2011"
"02.01.2018 16:00 - 02.01.2018 17:00","0","2013"
"02.01.2018 17:00 - 02.01.2018 18:00","0","2012"
"02.01.2018 18:00 - 02.01.2018 19:00","0","2013"
"02.01.2018 19:00 - 02.01.2018 20:00","0","2013"
