"Time (CET)","Hungary (HU) > Croatia (HR) [MW]","Croatia (HR) > Hungary (HU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","981","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1115","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1142","0"
"01.01.2018 03:00 - 01.01.2018 04:00","1109","0"
"01.01.2018 04:00 - 01.01.2018 05:00","1060","0"
"01.01.2018 05:00 - 01.01.2018 06:00","998","0"
"01.01.2018 06:00 - 01.01.2018 07:00","972","0"
"01.01.2018 07:00 - 01.01.2018 08:00","916","0"
"01.01.2018 08:00 - 01.01.2018 09:00","870","0"
"01.01.2018 09:00 - 01.01.2018 10:00","808","0"
"01.01.2018 10:00 - 01.01.2018 11:00","860","0"
"01.01.2018 11:00 - 01.01.2018 12:00","858","0"
"01.01.2018 12:00 - 01.01.2018 13:00","823","0"
"01.01.2018 13:00 - 01.01.2018 14:00","777","0"
"01.01.2018 14:00 - 01.01.2018 15:00","643","0"
"01.01.2018 15:00 - 01.01.2018 16:00","597","0"
"01.01.2018 16:00 - 01.01.2018 17:00","398","0"
"01.01.2018 17:00 - 01.01.2018 18:00","333","0"
"01.01.2018 18:00 - 01.01.2018 19:00","347","0"
"01.01.2018 19:00 - 01.01.2018 20:00","396","0"
"01.01.2018 20:00 - 01.01.2018 21:00","568","0"
"01.01.2018 21:00 - 01.01.2018 22:00","608","0"
"01.01.2018 22:00 - 01.01.2018 23:00","574","0"
"01.01.2018 23:00 - 02.01.2018 00:00","614","0"
"02.01.2018 00:00 - 02.01.2018 01:00","644","0"
"02.01.2018 01:00 - 02.01.2018 02:00","601","0"
"02.01.2018 02:00 - 02.01.2018 03:00","631","0"
"02.01.2018 03:00 - 02.01.2018 04:00","605","0"
"02.01.2018 04:00 - 02.01.2018 05:00","605","0"
"02.01.2018 05:00 - 02.01.2018 06:00","635","0"
"02.01.2018 06:00 - 02.01.2018 07:00","515","0"
"02.01.2018 07:00 - 02.01.2018 08:00","425","0"
"02.01.2018 08:00 - 02.01.2018 09:00","342","0"
"02.01.2018 09:00 - 02.01.2018 10:00","311","0"
"02.01.2018 10:00 - 02.01.2018 11:00","290","0"
"02.01.2018 11:00 - 02.01.2018 12:00","302","0"
"02.01.2018 12:00 - 02.01.2018 13:00","166","0"
"02.01.2018 13:00 - 02.01.2018 14:00","170","0"
"02.01.2018 14:00 - 02.01.2018 15:00","154","0"
"02.01.2018 15:00 - 02.01.2018 16:00","95","0"
"02.01.2018 16:00 - 02.01.2018 17:00","84","0"
"02.01.2018 17:00 - 02.01.2018 18:00","65","0"
"02.01.2018 18:00 - 02.01.2018 19:00","162","0"
"02.01.2018 19:00 - 02.01.2018 20:00","108","0"
"02.01.2018 20:00 - 02.01.2018 21:00","290","0"
"02.01.2018 21:00 - 02.01.2018 22:00","440","0"
"02.01.2018 22:00 - 02.01.2018 23:00","650","0"
"02.01.2018 23:00 - 03.01.2018 00:00","736","0"
"03.01.2018 00:00 - 03.01.2018 01:00","728","0"
"03.01.2018 01:00 - 03.01.2018 02:00","715","0"
"03.01.2018 02:00 - 03.01.2018 03:00","660","0"
"03.01.2018 03:00 - 03.01.2018 04:00","702","0"
"03.01.2018 04:00 - 03.01.2018 05:00","644","0"
"03.01.2018 05:00 - 03.01.2018 06:00","700","0"
"03.01.2018 06:00 - 03.01.2018 07:00","563","0"
"03.01.2018 07:00 - 03.01.2018 08:00","604","0"
"03.01.2018 08:00 - 03.01.2018 09:00","581","0"
"03.01.2018 09:00 - 03.01.2018 10:00","491","0"
"03.01.2018 10:00 - 03.01.2018 11:00","452","0"
"03.01.2018 11:00 - 03.01.2018 12:00","426","0"
"03.01.2018 12:00 - 03.01.2018 13:00","387","0"
"03.01.2018 13:00 - 03.01.2018 14:00","399","0"
"03.01.2018 14:00 - 03.01.2018 15:00","401","0"
"03.01.2018 15:00 - 03.01.2018 16:00","424","0"
"03.01.2018 16:00 - 03.01.2018 17:00","404","0"
"03.01.2018 17:00 - 03.01.2018 18:00","446","0"
"03.01.2018 18:00 - 03.01.2018 19:00","505","0"
"03.01.2018 19:00 - 03.01.2018 20:00","484","0"
"03.01.2018 20:00 - 03.01.2018 21:00","523","0"
"03.01.2018 21:00 - 03.01.2018 22:00","712","0"
"03.01.2018 22:00 - 03.01.2018 23:00","826","0"
"03.01.2018 23:00 - 04.01.2018 00:00","907","0"
"04.01.2018 00:00 - 04.01.2018 01:00","935","0"
"04.01.2018 01:00 - 04.01.2018 02:00","945","0"
"04.01.2018 02:00 - 04.01.2018 03:00","984","0"
"04.01.2018 03:00 - 04.01.2018 04:00","990","0"
"04.01.2018 04:00 - 04.01.2018 05:00","882","0"
"04.01.2018 05:00 - 04.01.2018 06:00","806","0"
"04.01.2018 06:00 - 04.01.2018 07:00","633","0"
"04.01.2018 07:00 - 04.01.2018 08:00","447","0"
"04.01.2018 08:00 - 04.01.2018 09:00","438","0"
"04.01.2018 09:00 - 04.01.2018 10:00","454","0"
"04.01.2018 10:00 - 04.01.2018 11:00","475","0"
"04.01.2018 11:00 - 04.01.2018 12:00","471","0"
"04.01.2018 12:00 - 04.01.2018 13:00","348","0"
"04.01.2018 13:00 - 04.01.2018 14:00","314","0"
"04.01.2018 14:00 - 04.01.2018 15:00","256","0"
"04.01.2018 15:00 - 04.01.2018 16:00","237","0"
"04.01.2018 16:00 - 04.01.2018 17:00","150","0"
"04.01.2018 17:00 - 04.01.2018 18:00","253","0"
"04.01.2018 18:00 - 04.01.2018 19:00","337","0"
"04.01.2018 19:00 - 04.01.2018 20:00","389","0"
"04.01.2018 20:00 - 04.01.2018 21:00","486","0"
"04.01.2018 21:00 - 04.01.2018 22:00","653","0"
"04.01.2018 22:00 - 04.01.2018 23:00","791","0"
"04.01.2018 23:00 - 05.01.2018 00:00","844","0"
"05.01.2018 00:00 - 05.01.2018 01:00","866","0"
"05.01.2018 01:00 - 05.01.2018 02:00","885","0"
"05.01.2018 02:00 - 05.01.2018 03:00","927","0"
"05.01.2018 03:00 - 05.01.2018 04:00","876","0"
"05.01.2018 04:00 - 05.01.2018 05:00","837","0"
"05.01.2018 05:00 - 05.01.2018 06:00","749","0"
"05.01.2018 06:00 - 05.01.2018 07:00","538","0"
"05.01.2018 07:00 - 05.01.2018 08:00","320","0"
