"Time (CET)","Latvia (LV) > Lithuania (LT) [MW]","Lithuania (LT) > Latvia (LV) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","222","0"
"01.01.2018 01:00 - 01.01.2018 02:00","128","0"
"01.01.2018 02:00 - 01.01.2018 03:00","236","0"
"01.01.2018 03:00 - 01.01.2018 04:00","208","0"
"01.01.2018 04:00 - 01.01.2018 05:00","165","0"
"01.01.2018 05:00 - 01.01.2018 06:00","221","0"
"01.01.2018 06:00 - 01.01.2018 07:00","278","0"
"01.01.2018 07:00 - 01.01.2018 08:00","407","0"
"01.01.2018 08:00 - 01.01.2018 09:00","363","0"
"01.01.2018 09:00 - 01.01.2018 10:00","251","0"
"01.01.2018 10:00 - 01.01.2018 11:00","279","0"
"01.01.2018 11:00 - 01.01.2018 12:00","307","0"
"01.01.2018 12:00 - 01.01.2018 13:00","295","0"
"01.01.2018 13:00 - 01.01.2018 14:00","391","0"
"01.01.2018 14:00 - 01.01.2018 15:00","431","0"
"01.01.2018 15:00 - 01.01.2018 16:00","398","0"
"01.01.2018 16:00 - 01.01.2018 17:00","409","0"
"01.01.2018 17:00 - 01.01.2018 18:00","429","0"
"01.01.2018 18:00 - 01.01.2018 19:00","414","0"
"01.01.2018 19:00 - 01.01.2018 20:00","456","0"
"01.01.2018 20:00 - 01.01.2018 21:00","551","0"
"01.01.2018 21:00 - 01.01.2018 22:00","433","0"
"01.01.2018 22:00 - 01.01.2018 23:00","391","0"
"01.01.2018 23:00 - 02.01.2018 00:00","222","0"
"02.01.2018 00:00 - 02.01.2018 01:00","205","0"
"02.01.2018 01:00 - 02.01.2018 02:00","176","0"
"02.01.2018 02:00 - 02.01.2018 03:00","235","0"
"02.01.2018 03:00 - 02.01.2018 04:00","245","0"
"02.01.2018 04:00 - 02.01.2018 05:00","257","0"
"02.01.2018 05:00 - 02.01.2018 06:00","361","0"
"02.01.2018 06:00 - 02.01.2018 07:00","453","0"
"02.01.2018 07:00 - 02.01.2018 08:00","464","0"
"02.01.2018 08:00 - 02.01.2018 09:00","487","0"
"02.01.2018 09:00 - 02.01.2018 10:00","816","0"
"02.01.2018 10:00 - 02.01.2018 11:00","853","0"
"02.01.2018 11:00 - 02.01.2018 12:00","835","0"
"02.01.2018 12:00 - 02.01.2018 13:00","812","0"
"02.01.2018 13:00 - 02.01.2018 14:00","768","0"
"02.01.2018 14:00 - 02.01.2018 15:00","808","0"
"02.01.2018 15:00 - 02.01.2018 16:00","910","0"
"02.01.2018 16:00 - 02.01.2018 17:00","898","0"
"02.01.2018 17:00 - 02.01.2018 18:00","857","0"
"02.01.2018 18:00 - 02.01.2018 19:00","982","0"
"02.01.2018 19:00 - 02.01.2018 20:00","812","0"
"02.01.2018 20:00 - 02.01.2018 21:00","631","0"
"02.01.2018 21:00 - 02.01.2018 22:00","627","0"
"02.01.2018 22:00 - 02.01.2018 23:00","748","0"
"02.01.2018 23:00 - 03.01.2018 00:00","700","0"
"03.01.2018 00:00 - 03.01.2018 01:00","637","0"
"03.01.2018 01:00 - 03.01.2018 02:00","612","0"
"03.01.2018 02:00 - 03.01.2018 03:00","565","0"
"03.01.2018 03:00 - 03.01.2018 04:00","557","0"
"03.01.2018 04:00 - 03.01.2018 05:00","546","0"
"03.01.2018 05:00 - 03.01.2018 06:00","603","0"
"03.01.2018 06:00 - 03.01.2018 07:00","587","0"
"03.01.2018 07:00 - 03.01.2018 08:00","518","0"
"03.01.2018 08:00 - 03.01.2018 09:00","600","0"
"03.01.2018 09:00 - 03.01.2018 10:00","561","0"
"03.01.2018 10:00 - 03.01.2018 11:00","613","0"
"03.01.2018 11:00 - 03.01.2018 12:00","493","0"
"03.01.2018 12:00 - 03.01.2018 13:00","535","0"
"03.01.2018 13:00 - 03.01.2018 14:00","489","0"
"03.01.2018 14:00 - 03.01.2018 15:00","449","0"
"03.01.2018 15:00 - 03.01.2018 16:00","507","0"
"03.01.2018 16:00 - 03.01.2018 17:00","573","0"
"03.01.2018 17:00 - 03.01.2018 18:00","516","0"
"03.01.2018 18:00 - 03.01.2018 19:00","446","0"
"03.01.2018 19:00 - 03.01.2018 20:00","482","0"
"03.01.2018 20:00 - 03.01.2018 21:00","587","0"
"03.01.2018 21:00 - 03.01.2018 22:00","577","0"
"03.01.2018 22:00 - 03.01.2018 23:00","474","0"
"03.01.2018 23:00 - 04.01.2018 00:00","455","0"
"04.01.2018 00:00 - 04.01.2018 01:00","533","0"
"04.01.2018 01:00 - 04.01.2018 02:00","638","0"
"04.01.2018 02:00 - 04.01.2018 03:00","613","0"
"04.01.2018 03:00 - 04.01.2018 04:00","638","0"
"04.01.2018 04:00 - 04.01.2018 05:00","597","0"
"04.01.2018 05:00 - 04.01.2018 06:00","505","0"
"04.01.2018 06:00 - 04.01.2018 07:00","621","0"
"04.01.2018 07:00 - 04.01.2018 08:00","551","0"
"04.01.2018 08:00 - 04.01.2018 09:00","828","0"
"04.01.2018 09:00 - 04.01.2018 10:00","962","0"
"04.01.2018 10:00 - 04.01.2018 11:00","891","0"
"04.01.2018 11:00 - 04.01.2018 12:00","N/A","N/A"
"04.01.2018 12:00 - 04.01.2018 13:00","N/A","N/A"
"04.01.2018 13:00 - 04.01.2018 14:00","N/A","N/A"
"04.01.2018 14:00 - 04.01.2018 15:00","N/A","N/A"
"04.01.2018 15:00 - 04.01.2018 16:00","N/A","N/A"
"04.01.2018 16:00 - 04.01.2018 17:00","843","0"
"04.01.2018 17:00 - 04.01.2018 18:00","995","0"
"04.01.2018 18:00 - 04.01.2018 19:00","922","0"
"04.01.2018 19:00 - 04.01.2018 20:00","802","0"
"04.01.2018 20:00 - 04.01.2018 21:00","887","0"
"04.01.2018 21:00 - 04.01.2018 22:00","727","0"
"04.01.2018 22:00 - 04.01.2018 23:00","707","0"
"04.01.2018 23:00 - 05.01.2018 00:00","677","0"
"05.01.2018 00:00 - 05.01.2018 01:00","689","0"
"05.01.2018 01:00 - 05.01.2018 02:00","756","0"
"05.01.2018 02:00 - 05.01.2018 03:00","794","0"
