"Time (CET)","Poland (PL) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Poland (PL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","613","0"
"01.01.2018 01:00 - 01.01.2018 02:00","719","0"
"01.01.2018 02:00 - 01.01.2018 03:00","735","0"
"01.01.2018 03:00 - 01.01.2018 04:00","819","0"
"01.01.2018 04:00 - 01.01.2018 05:00","833","0"
"01.01.2018 05:00 - 01.01.2018 06:00","806","0"
"01.01.2018 06:00 - 01.01.2018 07:00","768","0"
"01.01.2018 07:00 - 01.01.2018 08:00","670","0"
"01.01.2018 08:00 - 01.01.2018 09:00","611","0"
"01.01.2018 09:00 - 01.01.2018 10:00","626","0"
"01.01.2018 10:00 - 01.01.2018 11:00","666","0"
"01.01.2018 11:00 - 01.01.2018 12:00","654","0"
"01.01.2018 12:00 - 01.01.2018 13:00","597","0"
"01.01.2018 13:00 - 01.01.2018 14:00","532","0"
"01.01.2018 14:00 - 01.01.2018 15:00","613","0"
"01.01.2018 15:00 - 01.01.2018 16:00","722","0"
"01.01.2018 16:00 - 01.01.2018 17:00","643","0"
"01.01.2018 17:00 - 01.01.2018 18:00","350","0"
"01.01.2018 18:00 - 01.01.2018 19:00","338","0"
"01.01.2018 19:00 - 01.01.2018 20:00","295","0"
"01.01.2018 20:00 - 01.01.2018 21:00","431","0"
"01.01.2018 21:00 - 01.01.2018 22:00","371","0"
"01.01.2018 22:00 - 01.01.2018 23:00","405","0"
"01.01.2018 23:00 - 02.01.2018 00:00","394","0"
"02.01.2018 00:00 - 02.01.2018 01:00","626","0"
"02.01.2018 01:00 - 02.01.2018 02:00","566","0"
"02.01.2018 02:00 - 02.01.2018 03:00","517","0"
"02.01.2018 03:00 - 02.01.2018 04:00","457","0"
"02.01.2018 04:00 - 02.01.2018 05:00","563","0"
"02.01.2018 05:00 - 02.01.2018 06:00","719","0"
"02.01.2018 06:00 - 02.01.2018 07:00","709","0"
"02.01.2018 07:00 - 02.01.2018 08:00","716","0"
"02.01.2018 08:00 - 02.01.2018 09:00","499","0"
"02.01.2018 09:00 - 02.01.2018 10:00","348","0"
"02.01.2018 10:00 - 02.01.2018 11:00","268","0"
"02.01.2018 11:00 - 02.01.2018 12:00","318","0"
"02.01.2018 12:00 - 02.01.2018 13:00","438","0"
"02.01.2018 13:00 - 02.01.2018 14:00","480","0"
"02.01.2018 14:00 - 02.01.2018 15:00","426","0"
"02.01.2018 15:00 - 02.01.2018 16:00","477","0"
"02.01.2018 16:00 - 02.01.2018 17:00","468","0"
"02.01.2018 17:00 - 02.01.2018 18:00","408","0"
"02.01.2018 18:00 - 02.01.2018 19:00","405","0"
"02.01.2018 19:00 - 02.01.2018 20:00","511","0"
"02.01.2018 20:00 - 02.01.2018 21:00","482","0"
"02.01.2018 21:00 - 02.01.2018 22:00","382","0"
"02.01.2018 22:00 - 02.01.2018 23:00","386","0"
"02.01.2018 23:00 - 03.01.2018 00:00","446","0"
"03.01.2018 00:00 - 03.01.2018 01:00","606","0"
"03.01.2018 01:00 - 03.01.2018 02:00","676","0"
"03.01.2018 02:00 - 03.01.2018 03:00","653","0"
"03.01.2018 03:00 - 03.01.2018 04:00","628","0"
"03.01.2018 04:00 - 03.01.2018 05:00","568","0"
"03.01.2018 05:00 - 03.01.2018 06:00","501","0"
"03.01.2018 06:00 - 03.01.2018 07:00","274","0"
"03.01.2018 07:00 - 03.01.2018 08:00","252","0"
"03.01.2018 08:00 - 03.01.2018 09:00","236","0"
"03.01.2018 09:00 - 03.01.2018 10:00","279","0"
"03.01.2018 10:00 - 03.01.2018 11:00","296","0"
"03.01.2018 11:00 - 03.01.2018 12:00","303","0"
"03.01.2018 12:00 - 03.01.2018 13:00","371","0"
"03.01.2018 13:00 - 03.01.2018 14:00","388","0"
"03.01.2018 14:00 - 03.01.2018 15:00","398","0"
"03.01.2018 15:00 - 03.01.2018 16:00","435","0"
"03.01.2018 16:00 - 03.01.2018 17:00","514","0"
"03.01.2018 17:00 - 03.01.2018 18:00","514","0"
"03.01.2018 18:00 - 03.01.2018 19:00","436","0"
"03.01.2018 19:00 - 03.01.2018 20:00","383","0"
"03.01.2018 20:00 - 03.01.2018 21:00","364","0"
"03.01.2018 21:00 - 03.01.2018 22:00","254","0"
"03.01.2018 22:00 - 03.01.2018 23:00","359","0"
"03.01.2018 23:00 - 04.01.2018 00:00","606","0"
"04.01.2018 00:00 - 04.01.2018 01:00","660","0"
"04.01.2018 01:00 - 04.01.2018 02:00","650","0"
"04.01.2018 02:00 - 04.01.2018 03:00","634","0"
"04.01.2018 03:00 - 04.01.2018 04:00","529","0"
"04.01.2018 04:00 - 04.01.2018 05:00","509","0"
"04.01.2018 05:00 - 04.01.2018 06:00","455","0"
"04.01.2018 06:00 - 04.01.2018 07:00","463","0"
"04.01.2018 07:00 - 04.01.2018 08:00","563","0"
