"Time (CET)","Lithuania (LT) > Poland (PL) [MW]","Poland (PL) > Lithuania (LT) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","0"
"01.01.2018 01:00 - 01.01.2018 02:00","0","2"
"01.01.2018 02:00 - 01.01.2018 03:00","0","232"
"01.01.2018 03:00 - 01.01.2018 04:00","0","378"
"01.01.2018 04:00 - 01.01.2018 05:00","0","467"
"01.01.2018 05:00 - 01.01.2018 06:00","0","428"
"01.01.2018 06:00 - 01.01.2018 07:00","0","233"
"01.01.2018 07:00 - 01.01.2018 08:00","0","90"
"01.01.2018 08:00 - 01.01.2018 09:00","0","141"
"01.01.2018 09:00 - 01.01.2018 10:00","0","273"
"01.01.2018 10:00 - 01.01.2018 11:00","0","2"
"01.01.2018 11:00 - 01.01.2018 12:00","0","0"
"01.01.2018 12:00 - 01.01.2018 13:00","0","0"
"01.01.2018 13:00 - 01.01.2018 14:00","0","0"
"01.01.2018 14:00 - 01.01.2018 15:00","0","0"
"01.01.2018 15:00 - 01.01.2018 16:00","0","0"
"01.01.2018 16:00 - 01.01.2018 17:00","12","0"
"01.01.2018 17:00 - 01.01.2018 18:00","481","0"
"01.01.2018 18:00 - 01.01.2018 19:00","486","0"
"01.01.2018 19:00 - 01.01.2018 20:00","487","0"
"01.01.2018 20:00 - 01.01.2018 21:00","487","0"
"01.01.2018 21:00 - 01.01.2018 22:00","487","0"
"01.01.2018 22:00 - 01.01.2018 23:00","478","0"
"01.01.2018 23:00 - 02.01.2018 00:00","62","0"
"02.01.2018 00:00 - 02.01.2018 01:00","0","0"
"02.01.2018 01:00 - 02.01.2018 02:00","0","0"
"02.01.2018 02:00 - 02.01.2018 03:00","0","0"
"02.01.2018 03:00 - 02.01.2018 04:00","0","0"
"02.01.2018 04:00 - 02.01.2018 05:00","0","0"
"02.01.2018 05:00 - 02.01.2018 06:00","0","0"
"02.01.2018 06:00 - 02.01.2018 07:00","0","0"
"02.01.2018 07:00 - 02.01.2018 08:00","1","0"
"02.01.2018 08:00 - 02.01.2018 09:00","296","0"
"02.01.2018 09:00 - 02.01.2018 10:00","487","0"
"02.01.2018 10:00 - 02.01.2018 11:00","487","0"
"02.01.2018 11:00 - 02.01.2018 12:00","487","0"
"02.01.2018 12:00 - 02.01.2018 13:00","487","0"
"02.01.2018 13:00 - 02.01.2018 14:00","487","0"
"02.01.2018 14:00 - 02.01.2018 15:00","487","0"
"02.01.2018 15:00 - 02.01.2018 16:00","487","0"
"02.01.2018 16:00 - 02.01.2018 17:00","487","0"
"02.01.2018 17:00 - 02.01.2018 18:00","487","0"
"02.01.2018 18:00 - 02.01.2018 19:00","487","0"
"02.01.2018 19:00 - 02.01.2018 20:00","487","0"
"02.01.2018 20:00 - 02.01.2018 21:00","487","0"
"02.01.2018 21:00 - 02.01.2018 22:00","487","0"
"02.01.2018 22:00 - 02.01.2018 23:00","487","0"
"02.01.2018 23:00 - 03.01.2018 00:00","486","0"
"03.01.2018 00:00 - 03.01.2018 01:00","372","0"
"03.01.2018 01:00 - 03.01.2018 02:00","155","0"
"03.01.2018 02:00 - 03.01.2018 03:00","47","0"
"03.01.2018 03:00 - 03.01.2018 04:00","0","0"
"03.01.2018 04:00 - 03.01.2018 05:00","2","0"
"03.01.2018 05:00 - 03.01.2018 06:00","126","0"
"03.01.2018 06:00 - 03.01.2018 07:00","485","0"
"03.01.2018 07:00 - 03.01.2018 08:00","487","0"
"03.01.2018 08:00 - 03.01.2018 09:00","487","0"
"03.01.2018 09:00 - 03.01.2018 10:00","487","0"
"03.01.2018 10:00 - 03.01.2018 11:00","487","0"
"03.01.2018 11:00 - 03.01.2018 12:00","487","0"
"03.01.2018 12:00 - 03.01.2018 13:00","487","0"
"03.01.2018 13:00 - 03.01.2018 14:00","487","0"
"03.01.2018 14:00 - 03.01.2018 15:00","486","0"
"03.01.2018 15:00 - 03.01.2018 16:00","487","0"
"03.01.2018 16:00 - 03.01.2018 17:00","487","0"
"03.01.2018 17:00 - 03.01.2018 18:00","487","0"
"03.01.2018 18:00 - 03.01.2018 19:00","487","0"
"03.01.2018 19:00 - 03.01.2018 20:00","488","0"
"03.01.2018 20:00 - 03.01.2018 21:00","486","0"
"03.01.2018 21:00 - 03.01.2018 22:00","483","0"
"03.01.2018 22:00 - 03.01.2018 23:00","191","0"
"03.01.2018 23:00 - 04.01.2018 00:00","0","0"
"04.01.2018 00:00 - 04.01.2018 01:00","0","0"
"04.01.2018 01:00 - 04.01.2018 02:00","0","0"
"04.01.2018 02:00 - 04.01.2018 03:00","0","50"
"04.01.2018 03:00 - 04.01.2018 04:00","0","50"
"04.01.2018 04:00 - 04.01.2018 05:00","0","0"
"04.01.2018 05:00 - 04.01.2018 06:00","0","0"
"04.01.2018 06:00 - 04.01.2018 07:00","0","0"
"04.01.2018 07:00 - 04.01.2018 08:00","1","0"
"04.01.2018 08:00 - 04.01.2018 09:00","419","0"
"04.01.2018 09:00 - 04.01.2018 10:00","486","0"
"04.01.2018 10:00 - 04.01.2018 11:00","486","0"
"04.01.2018 11:00 - 04.01.2018 12:00","486","0"
"04.01.2018 12:00 - 04.01.2018 13:00","486","0"
"04.01.2018 13:00 - 04.01.2018 14:00","486","0"
"04.01.2018 14:00 - 04.01.2018 15:00","486","0"
"04.01.2018 15:00 - 04.01.2018 16:00","485","0"
"04.01.2018 16:00 - 04.01.2018 17:00","485","0"
"04.01.2018 17:00 - 04.01.2018 18:00","486","0"
