"Time (CET)","Czech Republic (CZ) > Slovakia (SK) [MW]","Slovakia (SK) > Czech Republic (CZ) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1183","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1154","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1128","0"
"01.01.2018 03:00 - 01.01.2018 04:00","1067","0"
"01.01.2018 04:00 - 01.01.2018 05:00","1088","0"
"01.01.2018 05:00 - 01.01.2018 06:00","1120","0"
"01.01.2018 06:00 - 01.01.2018 07:00","1207","0"
"01.01.2018 07:00 - 01.01.2018 08:00","1240","0"
"01.01.2018 08:00 - 01.01.2018 09:00","1386","0"
"01.01.2018 09:00 - 01.01.2018 10:00","1313","0"
"01.01.2018 10:00 - 01.01.2018 11:00","1254","0"
"01.01.2018 11:00 - 01.01.2018 12:00","1297","0"
"01.01.2018 12:00 - 01.01.2018 13:00","1157","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1055","0"
"01.01.2018 14:00 - 01.01.2018 15:00","929","0"
"01.01.2018 15:00 - 01.01.2018 16:00","821","0"
"01.01.2018 16:00 - 01.01.2018 17:00","886","0"
"01.01.2018 17:00 - 01.01.2018 18:00","788","0"
"01.01.2018 18:00 - 01.01.2018 19:00","815","0"
"01.01.2018 19:00 - 01.01.2018 20:00","817","0"
"01.01.2018 20:00 - 01.01.2018 21:00","847","0"
"01.01.2018 21:00 - 01.01.2018 22:00","735","0"
"01.01.2018 22:00 - 01.01.2018 23:00","608","0"
"01.01.2018 23:00 - 02.01.2018 00:00","511","0"
"02.01.2018 00:00 - 02.01.2018 01:00","212","0"
"02.01.2018 01:00 - 02.01.2018 02:00","0","21"
"02.01.2018 02:00 - 02.01.2018 03:00","0","121"
"02.01.2018 03:00 - 02.01.2018 04:00","0","174"
"02.01.2018 04:00 - 02.01.2018 05:00","0","8"
"02.01.2018 05:00 - 02.01.2018 06:00","212","0"
"02.01.2018 06:00 - 02.01.2018 07:00","505","0"
"02.01.2018 07:00 - 02.01.2018 08:00","592","0"
"02.01.2018 08:00 - 02.01.2018 09:00","582","0"
"02.01.2018 09:00 - 02.01.2018 10:00","490","0"
"02.01.2018 10:00 - 02.01.2018 11:00","459","0"
"02.01.2018 11:00 - 02.01.2018 12:00","631","0"
"02.01.2018 12:00 - 02.01.2018 13:00","530","0"
"02.01.2018 13:00 - 02.01.2018 14:00","543","0"
"02.01.2018 14:00 - 02.01.2018 15:00","546","0"
"02.01.2018 15:00 - 02.01.2018 16:00","342","0"
"02.01.2018 16:00 - 02.01.2018 17:00","557","0"
"02.01.2018 17:00 - 02.01.2018 18:00","606","0"
"02.01.2018 18:00 - 02.01.2018 19:00","689","0"
"02.01.2018 19:00 - 02.01.2018 20:00","638","0"
"02.01.2018 20:00 - 02.01.2018 21:00","662","0"
"02.01.2018 21:00 - 02.01.2018 22:00","660","0"
"02.01.2018 22:00 - 02.01.2018 23:00","782","0"
"02.01.2018 23:00 - 03.01.2018 00:00","671","0"
"03.01.2018 00:00 - 03.01.2018 01:00","640","0"
"03.01.2018 01:00 - 03.01.2018 02:00","502","0"
"03.01.2018 02:00 - 03.01.2018 03:00","738","0"
"03.01.2018 03:00 - 03.01.2018 04:00","839","0"
"03.01.2018 04:00 - 03.01.2018 05:00","849","0"
"03.01.2018 05:00 - 03.01.2018 06:00","930","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1087","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1149","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1155","0"
"03.01.2018 09:00 - 03.01.2018 10:00","1115","0"
"03.01.2018 10:00 - 03.01.2018 11:00","1086","0"
"03.01.2018 11:00 - 03.01.2018 12:00","1149","0"
"03.01.2018 12:00 - 03.01.2018 13:00","1177","0"
"03.01.2018 13:00 - 03.01.2018 14:00","1216","0"
"03.01.2018 14:00 - 03.01.2018 15:00","1268","0"
"03.01.2018 15:00 - 03.01.2018 16:00","1306","0"
"03.01.2018 16:00 - 03.01.2018 17:00","1514","0"
"03.01.2018 17:00 - 03.01.2018 18:00","1434","0"
"03.01.2018 18:00 - 03.01.2018 19:00","1418","0"
"03.01.2018 19:00 - 03.01.2018 20:00","1313","0"
"03.01.2018 20:00 - 03.01.2018 21:00","1326","0"
"03.01.2018 21:00 - 03.01.2018 22:00","1184","0"
"03.01.2018 22:00 - 03.01.2018 23:00","1054","0"
"03.01.2018 23:00 - 04.01.2018 00:00","882","0"
"04.01.2018 00:00 - 04.01.2018 01:00","961","0"
"04.01.2018 01:00 - 04.01.2018 02:00","998","0"
"04.01.2018 02:00 - 04.01.2018 03:00","990","0"
"04.01.2018 03:00 - 04.01.2018 04:00","938","0"
"04.01.2018 04:00 - 04.01.2018 05:00","944","0"
"04.01.2018 05:00 - 04.01.2018 06:00","914","0"
"04.01.2018 06:00 - 04.01.2018 07:00","1057","0"
"04.01.2018 07:00 - 04.01.2018 08:00","1059","0"
"04.01.2018 08:00 - 04.01.2018 09:00","1072","0"
"04.01.2018 09:00 - 04.01.2018 10:00","1146","0"
"04.01.2018 10:00 - 04.01.2018 11:00","1254","0"
"04.01.2018 11:00 - 04.01.2018 12:00","1190","0"
"04.01.2018 12:00 - 04.01.2018 13:00","1068","0"
"04.01.2018 13:00 - 04.01.2018 14:00","1007","0"
"04.01.2018 14:00 - 04.01.2018 15:00","960","0"
"04.01.2018 15:00 - 04.01.2018 16:00","934","0"
"04.01.2018 16:00 - 04.01.2018 17:00","1037","0"
"04.01.2018 17:00 - 04.01.2018 18:00","982","0"
"04.01.2018 18:00 - 04.01.2018 19:00","921","0"
"04.01.2018 19:00 - 04.01.2018 20:00","985","0"
"04.01.2018 20:00 - 04.01.2018 21:00","1125","0"
"04.01.2018 21:00 - 04.01.2018 22:00","1006","0"
"04.01.2018 22:00 - 04.01.2018 23:00","1072","0"
"04.01.2018 23:00 - 05.01.2018 00:00","1008","0"
"05.01.2018 00:00 - 05.01.2018 01:00","1044","0"
"05.01.2018 01:00 - 05.01.2018 02:00","1066","0"
"05.01.2018 02:00 - 05.01.2018 03:00","1057","0"
"05.01.2018 03:00 - 05.01.2018 04:00","1072","0"
"05.01.2018 04:00 - 05.01.2018 05:00","1073","0"
"05.01.2018 05:00 - 05.01.2018 06:00","1047","0"
"05.01.2018 06:00 - 05.01.2018 07:00","1164","0"
"05.01.2018 07:00 - 05.01.2018 08:00","1062","0"
"05.01.2018 08:00 - 05.01.2018 09:00","1093","0"
"05.01.2018 09:00 - 05.01.2018 10:00","1083","0"
"05.01.2018 10:00 - 05.01.2018 11:00","1001","0"
"05.01.2018 11:00 - 05.01.2018 12:00","1047","0"
"05.01.2018 12:00 - 05.01.2018 13:00","964","0"
"05.01.2018 13:00 - 05.01.2018 14:00","923","0"
"05.01.2018 14:00 - 05.01.2018 15:00","741","0"
"05.01.2018 15:00 - 05.01.2018 16:00","731","0"
"05.01.2018 16:00 - 05.01.2018 17:00","786","0"
"05.01.2018 17:00 - 05.01.2018 18:00","679","0"
"05.01.2018 18:00 - 05.01.2018 19:00","485","0"
"05.01.2018 19:00 - 05.01.2018 20:00","471","0"
"05.01.2018 20:00 - 05.01.2018 21:00","466","0"
"05.01.2018 21:00 - 05.01.2018 22:00","587","0"
"05.01.2018 22:00 - 05.01.2018 23:00","669","0"
"05.01.2018 23:00 - 06.01.2018 00:00","654","0"
"06.01.2018 00:00 - 06.01.2018 01:00","364","0"
