"Time (CET)","France (FR) > Italy (IT) [MW]","Italy (IT) > France (FR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","710","0"
"01.01.2018 01:00 - 01.01.2018 02:00","516","0"
"01.01.2018 02:00 - 01.01.2018 03:00","258","0"
"01.01.2018 03:00 - 01.01.2018 04:00","207","0"
"01.01.2018 04:00 - 01.01.2018 05:00","210","0"
"01.01.2018 05:00 - 01.01.2018 06:00","0","176"
"01.01.2018 06:00 - 01.01.2018 07:00","0","228"
"01.01.2018 07:00 - 01.01.2018 08:00","0","162"
"01.01.2018 08:00 - 01.01.2018 09:00","38","0"
"01.01.2018 09:00 - 01.01.2018 10:00","112","0"
"01.01.2018 10:00 - 01.01.2018 11:00","0","361"
"01.01.2018 11:00 - 01.01.2018 12:00","0","590"
"01.01.2018 12:00 - 01.01.2018 13:00","0","574"
"01.01.2018 13:00 - 01.01.2018 14:00","0","589"
"01.01.2018 14:00 - 01.01.2018 15:00","165","0"
"01.01.2018 15:00 - 01.01.2018 16:00","664","0"
"01.01.2018 16:00 - 01.01.2018 17:00","914","0"
"01.01.2018 17:00 - 01.01.2018 18:00","1176","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1340","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1949","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1916","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1640","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1643","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1743","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1657","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1336","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1029","0"
"02.01.2018 03:00 - 02.01.2018 04:00","962","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1010","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1518","0"
"02.01.2018 06:00 - 02.01.2018 07:00","2210","0"
"02.01.2018 07:00 - 02.01.2018 08:00","2277","0"
"02.01.2018 08:00 - 02.01.2018 09:00","1843","0"
"02.01.2018 09:00 - 02.01.2018 10:00","1220","0"
"02.01.2018 10:00 - 02.01.2018 11:00","1057","0"
"02.01.2018 11:00 - 02.01.2018 12:00","1021","0"
"02.01.2018 12:00 - 02.01.2018 13:00","949","0"
"02.01.2018 13:00 - 02.01.2018 14:00","811","0"
"02.01.2018 14:00 - 02.01.2018 15:00","1266","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1863","0"
"02.01.2018 16:00 - 02.01.2018 17:00","1873","0"
"02.01.2018 17:00 - 02.01.2018 18:00","1800","0"
"02.01.2018 18:00 - 02.01.2018 19:00","1554","0"
"02.01.2018 19:00 - 02.01.2018 20:00","2043","0"
"02.01.2018 20:00 - 02.01.2018 21:00","2085","0"
"02.01.2018 21:00 - 02.01.2018 22:00","2274","0"
"02.01.2018 22:00 - 02.01.2018 23:00","2232","0"
"02.01.2018 23:00 - 03.01.2018 00:00","1885","0"
"03.01.2018 00:00 - 03.01.2018 01:00","1917","0"
"03.01.2018 01:00 - 03.01.2018 02:00","1775","0"
"03.01.2018 02:00 - 03.01.2018 03:00","1506","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1413","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1367","0"
"03.01.2018 05:00 - 03.01.2018 06:00","1376","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1714","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1608","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1786","0"
"03.01.2018 09:00 - 03.01.2018 10:00","1835","0"
"03.01.2018 10:00 - 03.01.2018 11:00","1874","0"
"03.01.2018 11:00 - 03.01.2018 12:00","1982","0"
