"Time (CET)","Italy (IT) > Slovenia (SI) [MW]","Slovenia (SI) > Italy (IT) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","705"
"01.01.2018 01:00 - 01.01.2018 02:00","N/A","N/A"
"01.01.2018 02:00 - 01.01.2018 03:00","N/A","N/A"
"01.01.2018 03:00 - 01.01.2018 04:00","N/A","N/A"
"01.01.2018 04:00 - 01.01.2018 05:00","N/A","N/A"
"01.01.2018 05:00 - 01.01.2018 06:00","N/A","N/A"
"01.01.2018 06:00 - 01.01.2018 07:00","N/A","N/A"
"01.01.2018 07:00 - 01.01.2018 08:00","N/A","N/A"
"01.01.2018 08:00 - 01.01.2018 09:00","N/A","N/A"
"01.01.2018 09:00 - 01.01.2018 10:00","N/A","N/A"
"01.01.2018 10:00 - 01.01.2018 11:00","N/A","N/A"
"01.01.2018 11:00 - 01.01.2018 12:00","N/A","N/A"
"01.01.2018 12:00 - 01.01.2018 13:00","N/A","N/A"
"01.01.2018 13:00 - 01.01.2018 14:00","N/A","N/A"
"01.01.2018 14:00 - 01.01.2018 15:00","N/A","N/A"
"01.01.2018 15:00 - 01.01.2018 16:00","N/A","N/A"
"01.01.2018 16:00 - 01.01.2018 17:00","N/A","N/A"
"01.01.2018 17:00 - 01.01.2018 18:00","N/A","N/A"
"01.01.2018 18:00 - 01.01.2018 19:00","N/A","N/A"
"01.01.2018 19:00 - 01.01.2018 20:00","N/A","N/A"
"01.01.2018 20:00 - 01.01.2018 21:00","N/A","N/A"
"01.01.2018 21:00 - 01.01.2018 22:00","N/A","N/A"
"01.01.2018 22:00 - 01.01.2018 23:00","N/A","N/A"
"01.01.2018 23:00 - 02.01.2018 00:00","N/A","N/A"
"02.01.2018 00:00 - 02.01.2018 01:00","0","861"
"02.01.2018 01:00 - 02.01.2018 02:00","0","844"
"02.01.2018 02:00 - 02.01.2018 03:00","0","789"
"02.01.2018 03:00 - 02.01.2018 04:00","0","902"
"02.01.2018 04:00 - 02.01.2018 05:00","0","968"
"02.01.2018 05:00 - 02.01.2018 06:00","0","1020"
"02.01.2018 06:00 - 02.01.2018 07:00","0","967"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1036"
"02.01.2018 08:00 - 02.01.2018 09:00","0","1079"
"02.01.2018 09:00 - 02.01.2018 10:00","0","1015"
"02.01.2018 10:00 - 02.01.2018 11:00","0","944"
"02.01.2018 11:00 - 02.01.2018 12:00","0","840"
"02.01.2018 12:00 - 02.01.2018 13:00","0","556"
"02.01.2018 13:00 - 02.01.2018 14:00","0","893"
"02.01.2018 14:00 - 02.01.2018 15:00","0","1008"
"02.01.2018 15:00 - 02.01.2018 16:00","0","1059"
"02.01.2018 16:00 - 02.01.2018 17:00","0","959"
"02.01.2018 17:00 - 02.01.2018 18:00","0","1001"
"02.01.2018 18:00 - 02.01.2018 19:00","0","1036"
"02.01.2018 19:00 - 02.01.2018 20:00","0","658"
"02.01.2018 20:00 - 02.01.2018 21:00","0","569"
"02.01.2018 21:00 - 02.01.2018 22:00","0","593"
"02.01.2018 22:00 - 02.01.2018 23:00","0","600"
"02.01.2018 23:00 - 03.01.2018 00:00","0","653"
"03.01.2018 00:00 - 03.01.2018 01:00","0","628"
"03.01.2018 01:00 - 03.01.2018 02:00","0","660"
"03.01.2018 02:00 - 03.01.2018 03:00","0","610"
"03.01.2018 03:00 - 03.01.2018 04:00","0","678"
"03.01.2018 04:00 - 03.01.2018 05:00","0","729"
"03.01.2018 05:00 - 03.01.2018 06:00","0","863"
"03.01.2018 06:00 - 03.01.2018 07:00","0","875"
"03.01.2018 07:00 - 03.01.2018 08:00","0","1009"
"03.01.2018 08:00 - 03.01.2018 09:00","0","965"
"03.01.2018 09:00 - 03.01.2018 10:00","0","749"
"03.01.2018 10:00 - 03.01.2018 11:00","0","744"
"03.01.2018 11:00 - 03.01.2018 12:00","0","684"
"03.01.2018 12:00 - 03.01.2018 13:00","0","627"
"03.01.2018 13:00 - 03.01.2018 14:00","0","677"
"03.01.2018 14:00 - 03.01.2018 15:00","0","781"
"03.01.2018 15:00 - 03.01.2018 16:00","0","907"
"03.01.2018 16:00 - 03.01.2018 17:00","0","789"
"03.01.2018 17:00 - 03.01.2018 18:00","0","879"
"03.01.2018 18:00 - 03.01.2018 19:00","0","951"
"03.01.2018 19:00 - 03.01.2018 20:00","0","975"
"03.01.2018 20:00 - 03.01.2018 21:00","0","981"
"03.01.2018 21:00 - 03.01.2018 22:00","0","969"
"03.01.2018 22:00 - 03.01.2018 23:00","0","966"
"03.01.2018 23:00 - 04.01.2018 00:00","0","998"
"04.01.2018 00:00 - 04.01.2018 01:00","0","674"
"04.01.2018 01:00 - 04.01.2018 02:00","0","855"
"04.01.2018 02:00 - 04.01.2018 03:00","0","883"
"04.01.2018 03:00 - 04.01.2018 04:00","0","897"
"04.01.2018 04:00 - 04.01.2018 05:00","0","756"
"04.01.2018 05:00 - 04.01.2018 06:00","0","654"
"04.01.2018 06:00 - 04.01.2018 07:00","0","677"
"04.01.2018 07:00 - 04.01.2018 08:00","0","976"
"04.01.2018 08:00 - 04.01.2018 09:00","0","1062"
"04.01.2018 09:00 - 04.01.2018 10:00","0","974"
"04.01.2018 10:00 - 04.01.2018 11:00","0","847"
"04.01.2018 11:00 - 04.01.2018 12:00","0","852"
"04.01.2018 12:00 - 04.01.2018 13:00","0","606"
"04.01.2018 13:00 - 04.01.2018 14:00","0","545"
"04.01.2018 14:00 - 04.01.2018 15:00","0","627"
"04.01.2018 15:00 - 04.01.2018 16:00","0","633"
"04.01.2018 16:00 - 04.01.2018 17:00","0","746"
"04.01.2018 17:00 - 04.01.2018 18:00","0","952"
"04.01.2018 18:00 - 04.01.2018 19:00","0","1072"
"04.01.2018 19:00 - 04.01.2018 20:00","0","877"
"04.01.2018 20:00 - 04.01.2018 21:00","0","868"
"04.01.2018 21:00 - 04.01.2018 22:00","0","871"
"04.01.2018 22:00 - 04.01.2018 23:00","0","793"
"04.01.2018 23:00 - 05.01.2018 00:00","0","814"
"05.01.2018 00:00 - 05.01.2018 01:00","0","771"
"05.01.2018 01:00 - 05.01.2018 02:00","0","733"
"05.01.2018 02:00 - 05.01.2018 03:00","0","848"
"05.01.2018 03:00 - 05.01.2018 04:00","0","775"
"05.01.2018 04:00 - 05.01.2018 05:00","0","773"
"05.01.2018 05:00 - 05.01.2018 06:00","0","785"
"05.01.2018 06:00 - 05.01.2018 07:00","0","942"
"05.01.2018 07:00 - 05.01.2018 08:00","0","974"
"05.01.2018 08:00 - 05.01.2018 09:00","0","1009"
"05.01.2018 09:00 - 05.01.2018 10:00","0","909"
"05.01.2018 10:00 - 05.01.2018 11:00","0","1019"
"05.01.2018 11:00 - 05.01.2018 12:00","0","985"
"05.01.2018 12:00 - 05.01.2018 13:00","0","902"
"05.01.2018 13:00 - 05.01.2018 14:00","0","1041"
"05.01.2018 14:00 - 05.01.2018 15:00","0","944"
"05.01.2018 15:00 - 05.01.2018 16:00","0","931"
"05.01.2018 16:00 - 05.01.2018 17:00","0","841"
"05.01.2018 17:00 - 05.01.2018 18:00","0","863"
"05.01.2018 18:00 - 05.01.2018 19:00","0","1028"
"05.01.2018 19:00 - 05.01.2018 20:00","0","1056"
"05.01.2018 20:00 - 05.01.2018 21:00","0","949"
"05.01.2018 21:00 - 05.01.2018 22:00","0","730"
"05.01.2018 22:00 - 05.01.2018 23:00","0","762"
"05.01.2018 23:00 - 06.01.2018 00:00","0","696"
"06.01.2018 00:00 - 06.01.2018 01:00","0","536"
"06.01.2018 01:00 - 06.01.2018 02:00","0","561"
"06.01.2018 02:00 - 06.01.2018 03:00","0","520"
"06.01.2018 03:00 - 06.01.2018 04:00","0","559"
"06.01.2018 04:00 - 06.01.2018 05:00","0","583"
"06.01.2018 05:00 - 06.01.2018 06:00","0","652"
"06.01.2018 06:00 - 06.01.2018 07:00","0","835"
"06.01.2018 07:00 - 06.01.2018 08:00","0","933"
"06.01.2018 08:00 - 06.01.2018 09:00","0","808"
"06.01.2018 09:00 - 06.01.2018 10:00","0","929"
"06.01.2018 10:00 - 06.01.2018 11:00","0","768"
"06.01.2018 11:00 - 06.01.2018 12:00","0","679"
"06.01.2018 12:00 - 06.01.2018 13:00","0","741"
"06.01.2018 13:00 - 06.01.2018 14:00","0","818"
"06.01.2018 14:00 - 06.01.2018 15:00","0","829"
"06.01.2018 15:00 - 06.01.2018 16:00","0","843"
"06.01.2018 16:00 - 06.01.2018 17:00","0","689"
"06.01.2018 17:00 - 06.01.2018 18:00","0","1060"
"06.01.2018 18:00 - 06.01.2018 19:00","0","232"
"06.01.2018 19:00 - 06.01.2018 20:00","0","739"
"06.01.2018 20:00 - 06.01.2018 21:00","0","761"
"06.01.2018 21:00 - 06.01.2018 22:00","0","734"
"06.01.2018 22:00 - 06.01.2018 23:00","0","710"
"06.01.2018 23:00 - 07.01.2018 00:00","0","567"
"07.01.2018 00:00 - 07.01.2018 01:00","0","528"
"07.01.2018 01:00 - 07.01.2018 02:00","0","693"
"07.01.2018 02:00 - 07.01.2018 03:00","0","637"
"07.01.2018 03:00 - 07.01.2018 04:00","0","693"
"07.01.2018 04:00 - 07.01.2018 05:00","0","559"
"07.01.2018 05:00 - 07.01.2018 06:00","0","562"
"07.01.2018 06:00 - 07.01.2018 07:00","0","599"
"07.01.2018 07:00 - 07.01.2018 08:00","0","607"
"07.01.2018 08:00 - 07.01.2018 09:00","0","506"
"07.01.2018 09:00 - 07.01.2018 10:00","0","374"
"07.01.2018 10:00 - 07.01.2018 11:00","0","471"
"07.01.2018 11:00 - 07.01.2018 12:00","0","546"
"07.01.2018 12:00 - 07.01.2018 13:00","0","766"
"07.01.2018 13:00 - 07.01.2018 14:00","0","896"
"07.01.2018 14:00 - 07.01.2018 15:00","0","1025"
"07.01.2018 15:00 - 07.01.2018 16:00","0","974"
"07.01.2018 16:00 - 07.01.2018 17:00","0","831"
"07.01.2018 17:00 - 07.01.2018 18:00","0","1050"
"07.01.2018 18:00 - 07.01.2018 19:00","0","1103"
"07.01.2018 19:00 - 07.01.2018 20:00","0","1036"
"07.01.2018 20:00 - 07.01.2018 21:00","0","946"
"07.01.2018 21:00 - 07.01.2018 22:00","0","1020"
"07.01.2018 22:00 - 07.01.2018 23:00","0","1070"
"07.01.2018 23:00 - 08.01.2018 00:00","0","886"
"08.01.2018 00:00 - 08.01.2018 01:00","0","515"
"08.01.2018 01:00 - 08.01.2018 02:00","0","651"
"08.01.2018 02:00 - 08.01.2018 03:00","0","796"
"08.01.2018 03:00 - 08.01.2018 04:00","0","794"
"08.01.2018 04:00 - 08.01.2018 05:00","0","632"
"08.01.2018 05:00 - 08.01.2018 06:00","0","445"
"08.01.2018 06:00 - 08.01.2018 07:00","0","759"
"08.01.2018 07:00 - 08.01.2018 08:00","0","844"
"08.01.2018 08:00 - 08.01.2018 09:00","0","1039"
"08.01.2018 09:00 - 08.01.2018 10:00","0","1018"
"08.01.2018 10:00 - 08.01.2018 11:00","0","1057"
"08.01.2018 11:00 - 08.01.2018 12:00","0","1009"
"08.01.2018 12:00 - 08.01.2018 13:00","0","866"
