"Time (CET)","Romania (RO) > Bulgaria (BG) [MW]","Bulgaria (BG) > Romania (RO) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","637","0"
"01.01.2018 01:00 - 01.01.2018 02:00","653","0"
"01.01.2018 02:00 - 01.01.2018 03:00","551","0"
"01.01.2018 03:00 - 01.01.2018 04:00","495","0"
"01.01.2018 04:00 - 01.01.2018 05:00","487","0"
"01.01.2018 05:00 - 01.01.2018 06:00","460","0"
"01.01.2018 06:00 - 01.01.2018 07:00","463","0"
"01.01.2018 07:00 - 01.01.2018 08:00","403","0"
"01.01.2018 08:00 - 01.01.2018 09:00","362","0"
"01.01.2018 09:00 - 01.01.2018 10:00","391","0"
"01.01.2018 10:00 - 01.01.2018 11:00","522","0"
"01.01.2018 11:00 - 01.01.2018 12:00","529","0"
"01.01.2018 12:00 - 01.01.2018 13:00","507","0"
"01.01.2018 13:00 - 01.01.2018 14:00","486","0"
"01.01.2018 14:00 - 01.01.2018 15:00","504","0"
"01.01.2018 15:00 - 01.01.2018 16:00","694","0"
"01.01.2018 16:00 - 01.01.2018 17:00","714","0"
"01.01.2018 17:00 - 01.01.2018 18:00","740","0"
"01.01.2018 18:00 - 01.01.2018 19:00","783","0"
"01.01.2018 19:00 - 01.01.2018 20:00","824","0"
"01.01.2018 20:00 - 01.01.2018 21:00","849","0"
"01.01.2018 21:00 - 01.01.2018 22:00","837","0"
"01.01.2018 22:00 - 01.01.2018 23:00","872","0"
"01.01.2018 23:00 - 02.01.2018 00:00","974","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1034","0"
"02.01.2018 01:00 - 02.01.2018 02:00","982","0"
"02.01.2018 02:00 - 02.01.2018 03:00","944","0"
"02.01.2018 03:00 - 02.01.2018 04:00","910","0"
"02.01.2018 04:00 - 02.01.2018 05:00","951","0"
"02.01.2018 05:00 - 02.01.2018 06:00","970","0"
"02.01.2018 06:00 - 02.01.2018 07:00","939","0"
"02.01.2018 07:00 - 02.01.2018 08:00","880","0"
"02.01.2018 08:00 - 02.01.2018 09:00","895","0"
"02.01.2018 09:00 - 02.01.2018 10:00","875","0"
"02.01.2018 10:00 - 02.01.2018 11:00","865","0"
"02.01.2018 11:00 - 02.01.2018 12:00","885","0"
"02.01.2018 12:00 - 02.01.2018 13:00","884","0"
"02.01.2018 13:00 - 02.01.2018 14:00","881","0"
"02.01.2018 14:00 - 02.01.2018 15:00","867","0"
"02.01.2018 15:00 - 02.01.2018 16:00","825","0"
"02.01.2018 16:00 - 02.01.2018 17:00","778","0"
"02.01.2018 17:00 - 02.01.2018 18:00","693","0"
"02.01.2018 18:00 - 02.01.2018 19:00","620","0"
"02.01.2018 19:00 - 02.01.2018 20:00","549","0"
"02.01.2018 20:00 - 02.01.2018 21:00","608","0"
"02.01.2018 21:00 - 02.01.2018 22:00","654","0"
"02.01.2018 22:00 - 02.01.2018 23:00","801","0"
"02.01.2018 23:00 - 03.01.2018 00:00","914","0"
"03.01.2018 00:00 - 03.01.2018 01:00","856","0"
"03.01.2018 01:00 - 03.01.2018 02:00","786","0"
"03.01.2018 02:00 - 03.01.2018 03:00","725","0"
"03.01.2018 03:00 - 03.01.2018 04:00","607","0"
"03.01.2018 04:00 - 03.01.2018 05:00","622","0"
"03.01.2018 05:00 - 03.01.2018 06:00","631","0"
"03.01.2018 06:00 - 03.01.2018 07:00","615","0"
"03.01.2018 07:00 - 03.01.2018 08:00","609","0"
"03.01.2018 08:00 - 03.01.2018 09:00","554","0"
"03.01.2018 09:00 - 03.01.2018 10:00","570","0"
"03.01.2018 10:00 - 03.01.2018 11:00","568","0"
"03.01.2018 11:00 - 03.01.2018 12:00","564","0"
"03.01.2018 12:00 - 03.01.2018 13:00","522","0"
"03.01.2018 13:00 - 03.01.2018 14:00","509","0"
"03.01.2018 14:00 - 03.01.2018 15:00","437","0"
"03.01.2018 15:00 - 03.01.2018 16:00","438","0"
"03.01.2018 16:00 - 03.01.2018 17:00","375","0"
"03.01.2018 17:00 - 03.01.2018 18:00","340","0"
"03.01.2018 18:00 - 03.01.2018 19:00","311","0"
"03.01.2018 19:00 - 03.01.2018 20:00","329","0"
"03.01.2018 20:00 - 03.01.2018 21:00","412","0"
"03.01.2018 21:00 - 03.01.2018 22:00","565","0"
"03.01.2018 22:00 - 03.01.2018 23:00","688","0"
"03.01.2018 23:00 - 04.01.2018 00:00","845","0"
"04.01.2018 00:00 - 04.01.2018 01:00","721","0"
"04.01.2018 01:00 - 04.01.2018 02:00","675","0"
"04.01.2018 02:00 - 04.01.2018 03:00","650","0"
"04.01.2018 03:00 - 04.01.2018 04:00","573","0"
