"Time (CET)","Turkey (TR) > Bulgaria (BG) [MW]","Bulgaria (BG) > Turkey (TR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","338"
"01.01.2018 01:00 - 01.01.2018 02:00","0","370"
"01.01.2018 02:00 - 01.01.2018 03:00","0","353"
"01.01.2018 03:00 - 01.01.2018 04:00","0","335"
"01.01.2018 04:00 - 01.01.2018 05:00","0","361"
"01.01.2018 05:00 - 01.01.2018 06:00","0","363"
"01.01.2018 06:00 - 01.01.2018 07:00","0","426"
"01.01.2018 07:00 - 01.01.2018 08:00","0","332"
"01.01.2018 08:00 - 01.01.2018 09:00","0","298"
"01.01.2018 09:00 - 01.01.2018 10:00","0","295"
"01.01.2018 10:00 - 01.01.2018 11:00","0","333"
"01.01.2018 11:00 - 01.01.2018 12:00","0","347"
"01.01.2018 12:00 - 01.01.2018 13:00","0","351"
"01.01.2018 13:00 - 01.01.2018 14:00","0","361"
"01.01.2018 14:00 - 01.01.2018 15:00","0","392"
"01.01.2018 15:00 - 01.01.2018 16:00","0","350"
"01.01.2018 16:00 - 01.01.2018 17:00","0","298"
"01.01.2018 17:00 - 01.01.2018 18:00","0","270"
"01.01.2018 18:00 - 01.01.2018 19:00","0","286"
"01.01.2018 19:00 - 01.01.2018 20:00","0","353"
"01.01.2018 20:00 - 01.01.2018 21:00","0","342"
"01.01.2018 21:00 - 01.01.2018 22:00","0","281"
"01.01.2018 22:00 - 01.01.2018 23:00","0","342"
"01.01.2018 23:00 - 02.01.2018 00:00","0","451"
"02.01.2018 00:00 - 02.01.2018 01:00","0","450"
"02.01.2018 01:00 - 02.01.2018 02:00","0","438"
"02.01.2018 02:00 - 02.01.2018 03:00","0","398"
"02.01.2018 03:00 - 02.01.2018 04:00","0","421"
"02.01.2018 04:00 - 02.01.2018 05:00","0","497"
"02.01.2018 05:00 - 02.01.2018 06:00","0","443"
"02.01.2018 06:00 - 02.01.2018 07:00","0","423"
"02.01.2018 07:00 - 02.01.2018 08:00","0","291"
"02.01.2018 08:00 - 02.01.2018 09:00","0","284"
"02.01.2018 09:00 - 02.01.2018 10:00","0","273"
"02.01.2018 10:00 - 02.01.2018 11:00","0","201"
"02.01.2018 11:00 - 02.01.2018 12:00","0","217"
