"Time (CET)","Germany (DE) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Germany (DE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1668","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1758","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1887","0"
"01.01.2018 03:00 - 01.01.2018 04:00","2050","0"
"01.01.2018 04:00 - 01.01.2018 05:00","2084","0"
"01.01.2018 05:00 - 01.01.2018 06:00","2091","0"
"01.01.2018 06:00 - 01.01.2018 07:00","2345","0"
"01.01.2018 07:00 - 01.01.2018 08:00","2218","0"
"01.01.2018 08:00 - 01.01.2018 09:00","2111","0"
"01.01.2018 09:00 - 01.01.2018 10:00","2276","0"
"01.01.2018 10:00 - 01.01.2018 11:00","2404","0"
"01.01.2018 11:00 - 01.01.2018 12:00","2431","0"
"01.01.2018 12:00 - 01.01.2018 13:00","2366","0"
"01.01.2018 13:00 - 01.01.2018 14:00","2232","0"
"01.01.2018 14:00 - 01.01.2018 15:00","1785","0"
"01.01.2018 15:00 - 01.01.2018 16:00","1629","0"
"01.01.2018 16:00 - 01.01.2018 17:00","1615","0"
"01.01.2018 17:00 - 01.01.2018 18:00","983","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1070","0"
"01.01.2018 19:00 - 01.01.2018 20:00","877","0"
"01.01.2018 20:00 - 01.01.2018 21:00","777","0"
"01.01.2018 21:00 - 01.01.2018 22:00","550","0"
"01.01.2018 22:00 - 01.01.2018 23:00","338","0"
"01.01.2018 23:00 - 02.01.2018 00:00","239","0"
"02.01.2018 00:00 - 02.01.2018 01:00","674","0"
"02.01.2018 01:00 - 02.01.2018 02:00","595","0"
"02.01.2018 02:00 - 02.01.2018 03:00","462","0"
"02.01.2018 03:00 - 02.01.2018 04:00","274","0"
"02.01.2018 04:00 - 02.01.2018 05:00","487","0"
"02.01.2018 05:00 - 02.01.2018 06:00","645","0"
"02.01.2018 06:00 - 02.01.2018 07:00","905","0"
"02.01.2018 07:00 - 02.01.2018 08:00","884","0"
"02.01.2018 08:00 - 02.01.2018 09:00","598","0"
"02.01.2018 09:00 - 02.01.2018 10:00","412","0"
"02.01.2018 10:00 - 02.01.2018 11:00","204","0"
"02.01.2018 11:00 - 02.01.2018 12:00","202","0"
"02.01.2018 12:00 - 02.01.2018 13:00","467","0"
"02.01.2018 13:00 - 02.01.2018 14:00","316","0"
"02.01.2018 14:00 - 02.01.2018 15:00","268","0"
"02.01.2018 15:00 - 02.01.2018 16:00","240","0"
"02.01.2018 16:00 - 02.01.2018 17:00","352","0"
"02.01.2018 17:00 - 02.01.2018 18:00","49","0"
"02.01.2018 18:00 - 02.01.2018 19:00","0","42"
"02.01.2018 19:00 - 02.01.2018 20:00","182","0"
"02.01.2018 20:00 - 02.01.2018 21:00","394","0"
"02.01.2018 21:00 - 02.01.2018 22:00","388","0"
"02.01.2018 22:00 - 02.01.2018 23:00","653","0"
"02.01.2018 23:00 - 03.01.2018 00:00","852","0"
"03.01.2018 00:00 - 03.01.2018 01:00","1564","0"
"03.01.2018 01:00 - 03.01.2018 02:00","1735","0"
"03.01.2018 02:00 - 03.01.2018 03:00","2077","0"
"03.01.2018 03:00 - 03.01.2018 04:00","2190","0"
"03.01.2018 04:00 - 03.01.2018 05:00","2347","0"
"03.01.2018 05:00 - 03.01.2018 06:00","2160","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1814","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1773","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1605","0"
"03.01.2018 09:00 - 03.01.2018 10:00","1535","0"
"03.01.2018 10:00 - 03.01.2018 11:00","1620","0"
"03.01.2018 11:00 - 03.01.2018 12:00","1690","0"
"03.01.2018 12:00 - 03.01.2018 13:00","1704","0"
"03.01.2018 13:00 - 03.01.2018 14:00","1763","0"
"03.01.2018 14:00 - 03.01.2018 15:00","1842","0"
"03.01.2018 15:00 - 03.01.2018 16:00","1817","0"
"03.01.2018 16:00 - 03.01.2018 17:00","1949","0"
"03.01.2018 17:00 - 03.01.2018 18:00","1849","0"
"03.01.2018 18:00 - 03.01.2018 19:00","1709","0"
"03.01.2018 19:00 - 03.01.2018 20:00","1582","0"
"03.01.2018 20:00 - 03.01.2018 21:00","1581","0"
"03.01.2018 21:00 - 03.01.2018 22:00","1621","0"
"03.01.2018 22:00 - 03.01.2018 23:00","1674","0"
"03.01.2018 23:00 - 04.01.2018 00:00","1761","0"
"04.01.2018 00:00 - 04.01.2018 01:00","2068","0"
"04.01.2018 01:00 - 04.01.2018 02:00","2135","0"
"04.01.2018 02:00 - 04.01.2018 03:00","2100","0"
"04.01.2018 03:00 - 04.01.2018 04:00","2056","0"
"04.01.2018 04:00 - 04.01.2018 05:00","2024","0"
"04.01.2018 05:00 - 04.01.2018 06:00","1867","0"
"04.01.2018 06:00 - 04.01.2018 07:00","1769","0"
"04.01.2018 07:00 - 04.01.2018 08:00","1634","0"
"04.01.2018 08:00 - 04.01.2018 09:00","1281","0"
"04.01.2018 09:00 - 04.01.2018 10:00","1164","0"
"04.01.2018 10:00 - 04.01.2018 11:00","1161","0"
"04.01.2018 11:00 - 04.01.2018 12:00","1021","0"
"04.01.2018 12:00 - 04.01.2018 13:00","1155","0"
"04.01.2018 13:00 - 04.01.2018 14:00","1336","0"
"04.01.2018 14:00 - 04.01.2018 15:00","1559","0"
"04.01.2018 15:00 - 04.01.2018 16:00","1639","0"
"04.01.2018 16:00 - 04.01.2018 17:00","1373","0"
"04.01.2018 17:00 - 04.01.2018 18:00","1110","0"
"04.01.2018 18:00 - 04.01.2018 19:00","961","0"
"04.01.2018 19:00 - 04.01.2018 20:00","1291","0"
"04.01.2018 20:00 - 04.01.2018 21:00","1360","0"
"04.01.2018 21:00 - 04.01.2018 22:00","1290","0"
"04.01.2018 22:00 - 04.01.2018 23:00","1387","0"
"04.01.2018 23:00 - 05.01.2018 00:00","1472","0"
"05.01.2018 00:00 - 05.01.2018 01:00","2072","0"
"05.01.2018 01:00 - 05.01.2018 02:00","2312","0"
"05.01.2018 02:00 - 05.01.2018 03:00","2345","0"
"05.01.2018 03:00 - 05.01.2018 04:00","2339","0"
"05.01.2018 04:00 - 05.01.2018 05:00","2404","0"
"05.01.2018 05:00 - 05.01.2018 06:00","2168","0"
"05.01.2018 06:00 - 05.01.2018 07:00","2156","0"
"05.01.2018 07:00 - 05.01.2018 08:00","1879","0"
"05.01.2018 08:00 - 05.01.2018 09:00","1714","0"
"05.01.2018 09:00 - 05.01.2018 10:00","1641","0"
"05.01.2018 10:00 - 05.01.2018 11:00","1307","0"
"05.01.2018 11:00 - 05.01.2018 12:00","1426","0"
"05.01.2018 12:00 - 05.01.2018 13:00","1444","0"
"05.01.2018 13:00 - 05.01.2018 14:00","1171","0"
"05.01.2018 14:00 - 05.01.2018 15:00","728","0"
"05.01.2018 15:00 - 05.01.2018 16:00","314","0"
"05.01.2018 16:00 - 05.01.2018 17:00","511","0"
"05.01.2018 17:00 - 05.01.2018 18:00","162","0"
"05.01.2018 18:00 - 05.01.2018 19:00","0","239"
"05.01.2018 19:00 - 05.01.2018 20:00","0","233"
"05.01.2018 20:00 - 05.01.2018 21:00","0","55"
"05.01.2018 21:00 - 05.01.2018 22:00","44","0"
"05.01.2018 22:00 - 05.01.2018 23:00","0","304"
"05.01.2018 23:00 - 06.01.2018 00:00","0","210"
"06.01.2018 00:00 - 06.01.2018 01:00","0","188"
"06.01.2018 01:00 - 06.01.2018 02:00","0","85"
"06.01.2018 02:00 - 06.01.2018 03:00","5","0"
"06.01.2018 03:00 - 06.01.2018 04:00","123","0"
"06.01.2018 04:00 - 06.01.2018 05:00","36","0"
