"Time (CET)","Belarus (BY) > Lithuania (LT) [MW]","Lithuania (LT) > Belarus (BY) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","24"
"01.01.2018 01:00 - 01.01.2018 02:00","26","0"
"01.01.2018 02:00 - 01.01.2018 03:00","32","0"
"01.01.2018 03:00 - 01.01.2018 04:00","0","64"
"01.01.2018 04:00 - 01.01.2018 05:00","0","107"
"01.01.2018 05:00 - 01.01.2018 06:00","0","177"
"01.01.2018 06:00 - 01.01.2018 07:00","0","34"
"01.01.2018 07:00 - 01.01.2018 08:00","0","32"
"01.01.2018 08:00 - 01.01.2018 09:00","0","199"
"01.01.2018 09:00 - 01.01.2018 10:00","0","311"
"01.01.2018 10:00 - 01.01.2018 11:00","0","201"
"01.01.2018 11:00 - 01.01.2018 12:00","0","212"
"01.01.2018 12:00 - 01.01.2018 13:00","0","182"
"01.01.2018 13:00 - 01.01.2018 14:00","0","166"
"01.01.2018 14:00 - 01.01.2018 15:00","0","110"
"01.01.2018 15:00 - 01.01.2018 16:00","0","118"
"01.01.2018 16:00 - 01.01.2018 17:00","0","116"
"01.01.2018 17:00 - 01.01.2018 18:00","0","33"
"01.01.2018 18:00 - 01.01.2018 19:00","0","16"
"01.01.2018 19:00 - 01.01.2018 20:00","6","0"
"01.01.2018 20:00 - 01.01.2018 21:00","23","0"
"01.01.2018 21:00 - 01.01.2018 22:00","39","0"
"01.01.2018 22:00 - 01.01.2018 23:00","112","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1","0"
"02.01.2018 00:00 - 02.01.2018 01:00","0","163"
"02.01.2018 01:00 - 02.01.2018 02:00","0","189"
"02.01.2018 02:00 - 02.01.2018 03:00","0","132"
"02.01.2018 03:00 - 02.01.2018 04:00","0","206"
"02.01.2018 04:00 - 02.01.2018 05:00","0","206"
"02.01.2018 05:00 - 02.01.2018 06:00","0","152"
"02.01.2018 06:00 - 02.01.2018 07:00","19","0"
"02.01.2018 07:00 - 02.01.2018 08:00","31","0"
"02.01.2018 08:00 - 02.01.2018 09:00","147","0"
"02.01.2018 09:00 - 02.01.2018 10:00","286","0"
"02.01.2018 10:00 - 02.01.2018 11:00","290","0"
"02.01.2018 11:00 - 02.01.2018 12:00","280","0"
"02.01.2018 12:00 - 02.01.2018 13:00","326","0"
"02.01.2018 13:00 - 02.01.2018 14:00","277","0"
"02.01.2018 14:00 - 02.01.2018 15:00","334","0"
"02.01.2018 15:00 - 02.01.2018 16:00","280","0"
"02.01.2018 16:00 - 02.01.2018 17:00","253","0"
"02.01.2018 17:00 - 02.01.2018 18:00","213","0"
"02.01.2018 18:00 - 02.01.2018 19:00","362","0"
"02.01.2018 19:00 - 02.01.2018 20:00","378","0"
"02.01.2018 20:00 - 02.01.2018 21:00","292","0"
"02.01.2018 21:00 - 02.01.2018 22:00","188","0"
"02.01.2018 22:00 - 02.01.2018 23:00","228","0"
"02.01.2018 23:00 - 03.01.2018 00:00","188","0"
"03.01.2018 00:00 - 03.01.2018 01:00","54","0"
"03.01.2018 01:00 - 03.01.2018 02:00","31","0"
"03.01.2018 02:00 - 03.01.2018 03:00","0","48"
"03.01.2018 03:00 - 03.01.2018 04:00","0","69"
"03.01.2018 04:00 - 03.01.2018 05:00","0","78"
"03.01.2018 05:00 - 03.01.2018 06:00","0","57"
"03.01.2018 06:00 - 03.01.2018 07:00","44","0"
