"Time (CET)","Italy (IT) > Switzerland (CH) [MW]","Switzerland (CH) > Italy (IT) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1769"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1679"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1625"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1556"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1464"
"01.01.2018 05:00 - 01.01.2018 06:00","0","913"
"01.01.2018 06:00 - 01.01.2018 07:00","0","956"
"01.01.2018 07:00 - 01.01.2018 08:00","0","820"
"01.01.2018 08:00 - 01.01.2018 09:00","0","744"
"01.01.2018 09:00 - 01.01.2018 10:00","0","729"
"01.01.2018 10:00 - 01.01.2018 11:00","0","642"
"01.01.2018 11:00 - 01.01.2018 12:00","0","577"
"01.01.2018 12:00 - 01.01.2018 13:00","0","421"
"01.01.2018 13:00 - 01.01.2018 14:00","0","308"
"01.01.2018 14:00 - 01.01.2018 15:00","390","0"
"01.01.2018 15:00 - 01.01.2018 16:00","591","0"
"01.01.2018 16:00 - 01.01.2018 17:00","613","0"
"01.01.2018 17:00 - 01.01.2018 18:00","0","84"
"01.01.2018 18:00 - 01.01.2018 19:00","0","1109"
"01.01.2018 19:00 - 01.01.2018 20:00","0","1440"
"01.01.2018 20:00 - 01.01.2018 21:00","0","2007"
"01.01.2018 21:00 - 01.01.2018 22:00","0","2441"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1679"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1094"
"02.01.2018 00:00 - 02.01.2018 01:00","0","929"
"02.01.2018 01:00 - 02.01.2018 02:00","0","625"
"02.01.2018 02:00 - 02.01.2018 03:00","0","483"
"02.01.2018 03:00 - 02.01.2018 04:00","0","673"
"02.01.2018 04:00 - 02.01.2018 05:00","0","965"
"02.01.2018 05:00 - 02.01.2018 06:00","0","1696"
"02.01.2018 06:00 - 02.01.2018 07:00","0","2294"
"02.01.2018 07:00 - 02.01.2018 08:00","0","3267"
"02.01.2018 08:00 - 02.01.2018 09:00","0","3344"
"02.01.2018 09:00 - 02.01.2018 10:00","0","3182"
"02.01.2018 10:00 - 02.01.2018 11:00","0","2845"
"02.01.2018 11:00 - 02.01.2018 12:00","0","2471"
"02.01.2018 12:00 - 02.01.2018 13:00","0","1781"
"02.01.2018 13:00 - 02.01.2018 14:00","0","1438"
"02.01.2018 14:00 - 02.01.2018 15:00","0","2412"
"02.01.2018 15:00 - 02.01.2018 16:00","0","3309"
"02.01.2018 16:00 - 02.01.2018 17:00","0","3517"
"02.01.2018 17:00 - 02.01.2018 18:00","0","3627"
"02.01.2018 18:00 - 02.01.2018 19:00","0","3895"
"02.01.2018 19:00 - 02.01.2018 20:00","0","3563"
"02.01.2018 20:00 - 02.01.2018 21:00","0","3794"
"02.01.2018 21:00 - 02.01.2018 22:00","0","3815"
"02.01.2018 22:00 - 02.01.2018 23:00","0","3546"
"02.01.2018 23:00 - 03.01.2018 00:00","0","3390"
"03.01.2018 00:00 - 03.01.2018 01:00","0","2906"
"03.01.2018 01:00 - 03.01.2018 02:00","0","2596"
"03.01.2018 02:00 - 03.01.2018 03:00","0","2801"
"03.01.2018 03:00 - 03.01.2018 04:00","0","2817"
"03.01.2018 04:00 - 03.01.2018 05:00","0","2622"
"03.01.2018 05:00 - 03.01.2018 06:00","0","2410"
"03.01.2018 06:00 - 03.01.2018 07:00","0","2611"
"03.01.2018 07:00 - 03.01.2018 08:00","0","2877"
"03.01.2018 08:00 - 03.01.2018 09:00","0","3162"
"03.01.2018 09:00 - 03.01.2018 10:00","0","2506"
"03.01.2018 10:00 - 03.01.2018 11:00","0","2495"
"03.01.2018 11:00 - 03.01.2018 12:00","0","2687"
"03.01.2018 12:00 - 03.01.2018 13:00","0","2275"
"03.01.2018 13:00 - 03.01.2018 14:00","0","2141"
"03.01.2018 14:00 - 03.01.2018 15:00","0","2429"
"03.01.2018 15:00 - 03.01.2018 16:00","0","2836"
"03.01.2018 16:00 - 03.01.2018 17:00","0","2924"
"03.01.2018 17:00 - 03.01.2018 18:00","0","2904"
"03.01.2018 18:00 - 03.01.2018 19:00","0","2809"
"03.01.2018 19:00 - 03.01.2018 20:00","0","2952"
"03.01.2018 20:00 - 03.01.2018 21:00","0","2896"
"03.01.2018 21:00 - 03.01.2018 22:00","0","2897"
"03.01.2018 22:00 - 03.01.2018 23:00","0","2536"
"03.01.2018 23:00 - 04.01.2018 00:00","0","2661"
"04.01.2018 00:00 - 04.01.2018 01:00","0","2405"
"04.01.2018 01:00 - 04.01.2018 02:00","0","2519"
"04.01.2018 02:00 - 04.01.2018 03:00","0","2675"
"04.01.2018 03:00 - 04.01.2018 04:00","0","2649"
"04.01.2018 04:00 - 04.01.2018 05:00","0","2584"
"04.01.2018 05:00 - 04.01.2018 06:00","0","2004"
"04.01.2018 06:00 - 04.01.2018 07:00","0","2079"
"04.01.2018 07:00 - 04.01.2018 08:00","0","2869"
"04.01.2018 08:00 - 04.01.2018 09:00","0","2952"
"04.01.2018 09:00 - 04.01.2018 10:00","0","2807"
"04.01.2018 10:00 - 04.01.2018 11:00","0","2505"
"04.01.2018 11:00 - 04.01.2018 12:00","0","2203"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1689"
"04.01.2018 13:00 - 04.01.2018 14:00","0","1780"
"04.01.2018 14:00 - 04.01.2018 15:00","0","1879"
"04.01.2018 15:00 - 04.01.2018 16:00","0","2214"
"04.01.2018 16:00 - 04.01.2018 17:00","0","2447"
"04.01.2018 17:00 - 04.01.2018 18:00","0","2728"
"04.01.2018 18:00 - 04.01.2018 19:00","0","3260"
"04.01.2018 19:00 - 04.01.2018 20:00","0","3571"
"04.01.2018 20:00 - 04.01.2018 21:00","0","3355"
"04.01.2018 21:00 - 04.01.2018 22:00","0","3605"
"04.01.2018 22:00 - 04.01.2018 23:00","0","3103"
"04.01.2018 23:00 - 05.01.2018 00:00","0","2603"
"05.01.2018 00:00 - 05.01.2018 01:00","0","3181"
"05.01.2018 01:00 - 05.01.2018 02:00","0","3032"
"05.01.2018 02:00 - 05.01.2018 03:00","0","3317"
"05.01.2018 03:00 - 05.01.2018 04:00","0","3303"
"05.01.2018 04:00 - 05.01.2018 05:00","0","3031"
"05.01.2018 05:00 - 05.01.2018 06:00","0","2532"
"05.01.2018 06:00 - 05.01.2018 07:00","0","3155"
"05.01.2018 07:00 - 05.01.2018 08:00","0","3420"
"05.01.2018 08:00 - 05.01.2018 09:00","0","3527"
