"Time (CET)","Netherlands (NL) > Germany (DE) [MW]","Germany (DE) > Netherlands (NL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1662"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1702"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1683"
"01.01.2018 03:00 - 01.01.2018 04:00","0","2086"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1833"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1925"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1849"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1369"
"01.01.2018 08:00 - 01.01.2018 09:00","0","1371"
"01.01.2018 09:00 - 01.01.2018 10:00","0","1595"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1752"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1675"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1679"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1779"
"01.01.2018 14:00 - 01.01.2018 15:00","0","1462"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1285"
"01.01.2018 16:00 - 01.01.2018 17:00","0","1549"
"01.01.2018 17:00 - 01.01.2018 18:00","0","1478"
"01.01.2018 18:00 - 01.01.2018 19:00","0","2134"
"01.01.2018 19:00 - 01.01.2018 20:00","0","2389"
"01.01.2018 20:00 - 01.01.2018 21:00","0","2432"
"01.01.2018 21:00 - 01.01.2018 22:00","0","2726"
"01.01.2018 22:00 - 01.01.2018 23:00","0","2548"
"01.01.2018 23:00 - 02.01.2018 00:00","0","2381"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1981"
"02.01.2018 01:00 - 02.01.2018 02:00","0","1856"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1193"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1349"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1873"
"02.01.2018 05:00 - 02.01.2018 06:00","0","2302"
"02.01.2018 06:00 - 02.01.2018 07:00","0","2373"
"02.01.2018 07:00 - 02.01.2018 08:00","0","2298"
"02.01.2018 08:00 - 02.01.2018 09:00","0","2215"
"02.01.2018 09:00 - 02.01.2018 10:00","0","2842"
"02.01.2018 10:00 - 02.01.2018 11:00","0","2759"
"02.01.2018 11:00 - 02.01.2018 12:00","0","3139"
"02.01.2018 12:00 - 02.01.2018 13:00","0","3302"
"02.01.2018 13:00 - 02.01.2018 14:00","0","3393"
"02.01.2018 14:00 - 02.01.2018 15:00","0","3095"
"02.01.2018 15:00 - 02.01.2018 16:00","0","2543"
"02.01.2018 16:00 - 02.01.2018 17:00","0","2393"
"02.01.2018 17:00 - 02.01.2018 18:00","0","2591"
"02.01.2018 18:00 - 02.01.2018 19:00","0","2071"
"02.01.2018 19:00 - 02.01.2018 20:00","0","1625"
"02.01.2018 20:00 - 02.01.2018 21:00","0","2075"
"02.01.2018 21:00 - 02.01.2018 22:00","0","2655"
"02.01.2018 22:00 - 02.01.2018 23:00","0","2260"
"02.01.2018 23:00 - 03.01.2018 00:00","0","1821"
"03.01.2018 00:00 - 03.01.2018 01:00","0","1449"
"03.01.2018 01:00 - 03.01.2018 02:00","0","1365"
"03.01.2018 02:00 - 03.01.2018 03:00","0","1601"
"03.01.2018 03:00 - 03.01.2018 04:00","0","1718"
"03.01.2018 04:00 - 03.01.2018 05:00","0","1771"
"03.01.2018 05:00 - 03.01.2018 06:00","0","1739"
"03.01.2018 06:00 - 03.01.2018 07:00","0","1682"
"03.01.2018 07:00 - 03.01.2018 08:00","0","1572"
"03.01.2018 08:00 - 03.01.2018 09:00","0","1839"
"03.01.2018 09:00 - 03.01.2018 10:00","0","1887"
"03.01.2018 10:00 - 03.01.2018 11:00","0","2123"
"03.01.2018 11:00 - 03.01.2018 12:00","0","2074"
"03.01.2018 12:00 - 03.01.2018 13:00","0","1967"
"03.01.2018 13:00 - 03.01.2018 14:00","0","1895"
"03.01.2018 14:00 - 03.01.2018 15:00","0","1768"
"03.01.2018 15:00 - 03.01.2018 16:00","0","1809"
