,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
70,114.75,714.0,855.5,,6.0,0.0,1923.0,94.0,11.25,16.75,108.75
71,115.75,710.0,728.5,,6.0,0.0,1921.75,94.0,11.0,16.5,153.0
72,116.75,601.25,692.5,,6.0,0.0,1922.25,87.0,10.5,15.0,148.5
73,114.75,503.25,691.0,,6.0,0.0,1922.25,85.75,8.0,14.0,149.0
74,86.0,450.25,706.25,,6.0,0.0,1922.0,83.0,6.0,15.5,128.5
75,76.75,452.0,702.25,,6.0,0.0,1920.25,83.0,6.0,15.75,124.75
76,81.25,503.75,666.0,,6.0,0.0,1922.75,84.0,6.0,16.0,164.5
77,100.0,565.75,737.0,,6.0,0.0,1919.25,95.0,7.5,15.25,167.25
78,114.25,668.5,1006.0,,6.0,0.0,1919.75,97.0,11.0,14.5,146.25
79,117.0,704.75,1028.5,,5.5,0.0,1917.0,93.0,12.0,14.25,119.0
80,116.0,712.75,1082.25,,5.0,0.0,1916.0,89.0,12.5,15.75,62.5
81,113.75,705.25,1043.25,,5.25,0.0,1915.5,92.0,13.0,15.5,44.0
82,115.75,713.5,1017.0,,5.5,0.0,1918.25,91.0,13.0,14.25,35.25
83,115.25,718.5,978.25,,5.0,0.0,1920.75,83.0,12.0,14.75,41.25
84,113.75,702.75,968.25,,5.0,0.0,1920.5,83.0,13.0,15.0,48.25
85,115.5,702.75,952.75,,5.5,0.0,1920.75,88.0,14.0,14.5,38.25
86,116.25,716.5,963.0,,6.0,0.0,1921.5,88.0,14.25,14.5,41.0
87,115.25,708.75,1020.0,,5.5,0.0,1919.75,88.0,13.75,15.5,51.0
88,112.75,710.5,1001.25,,5.0,0.0,1919.5,88.0,13.75,15.25,60.75
89,113.75,728.5,999.25,,5.0,0.0,1919.25,88.75,13.0,13.75,84.5
90,114.75,726.75,978.25,,5.0,0.0,1919.5,92.0,13.0,15.25,160.25
91,115.25,722.0,989.25,,5.25,0.0,1920.5,91.0,13.0,15.75,129.5
92,113.5,715.5,971.25,,6.0,0.0,1921.0,92.0,12.75,14.75,126.5
93,115.0,712.75,939.25,,5.5,0.0,1922.25,92.0,11.0,15.0,122.75
94,116.0,706.5,784.75,,5.0,0.0,1922.25,86.0,10.25,14.5,121.0
95,116.75,706.0,741.75,,5.0,0.0,1922.5,86.0,10.5,15.0,103.0
96,116.0,619.25,673.0,,5.0,0.0,1920.0,90.0,11.0,14.25,96.5
97,114.0,506.0,689.25,,5.0,0.0,1920.5,87.75,8.5,13.75,78.25
98,87.0,448.75,706.0,,5.0,0.0,1920.25,80.0,6.0,14.75,54.75
99,79.0,454.25,703.25,,5.0,0.0,1920.5,83.0,6.0,13.5,45.75
100,84.0,481.5,732.25,,5.0,0.0,1921.0,87.0,6.0,15.25,17.75
101,101.75,504.25,801.75,,5.0,0.0,1919.75,100.5,8.5,14.25,28.0
102,114.5,619.25,904.0,,5.0,0.0,1919.5,100.0,11.0,14.25,78.0
103,115.0,630.25,944.25,,5.0,0.0,1918.5,103.0,11.75,13.75,92.0
104,114.25,660.0,1050.75,,5.0,0.0,1918.5,102.0,13.0,13.75,36.75
105,109.25,703.5,1000.0,,5.0,0.0,1918.25,102.0,12.5,14.75,13.25
106,109.25,678.5,982.5,,5.0,0.0,1919.0,101.0,13.0,15.0,6.0
107,106.5,724.0,961.5,0.0,5.0,0.0,1921.25,99.0,13.0,14.5,3.25
108,107.0,718.25,1007.5,,5.0,0.0,1921.75,101.0,12.0,15.0,7.0
109,107.0,714.5,994.25,,5.0,0.0,1921.5,99.0,12.5,13.25,15.75
110,111.0,720.75,936.5,,5.0,0.0,1921.75,99.0,13.0,15.0,30.75
111,112.5,723.5,875.0,,5.0,0.0,1923.0,95.0,12.75,14.75,81.75
112,116.0,717.5,900.0,,5.0,0.0,1921.5,95.0,13.5,13.25,89.0
113,115.75,726.25,931.25,,5.0,0.0,1923.0,97.75,14.0,14.5,101.0
114,115.75,721.0,940.75,,5.0,0.0,1923.0,96.0,13.0,14.0,130.0
115,115.25,721.0,930.5,,5.0,0.0,1921.5,90.0,13.0,13.75,164.75
116,115.75,713.0,873.25,,5.0,0.0,1921.25,91.0,13.0,14.25,159.25
117,111.0,716.0,814.5,,5.0,0.0,1921.0,94.0,13.0,14.5,143.75
118,97.5,712.5,702.0,,5.0,0.0,1920.25,94.0,12.0,14.25,136.0
119,87.75,694.25,704.75,,5.0,0.0,1920.0,97.0,11.0,14.0,145.75
120,70.0,694.0,674.0,,5.0,0.0,1920.25,94.0,11.0,16.25,138.25
121,69.25,660.0,657.25,,5.0,0.0,1921.0,89.75,8.25,15.5,107.75
122,55.25,610.5,628.5,,5.0,0.0,1920.5,82.0,6.0,15.0,86.0
123,45.25,575.0,639.0,,5.0,0.0,1920.75,82.0,6.0,15.0,53.0
124,44.0,578.25,629.0,,5.0,0.0,1920.5,81.0,5.0,14.75,31.75
125,45.75,581.75,671.25,,5.0,0.0,1922.5,91.0,6.25,17.0,24.75
126,53.0,559.75,676.5,,5.0,0.0,1922.5,91.0,10.0,17.0,21.25
127,65.0,575.75,750.0,,5.0,0.0,1921.75,96.0,11.0,16.25,24.75
128,65.0,578.25,781.0,,5.0,0.0,1922.5,93.0,12.25,15.75,27.75
129,60.25,583.5,750.5,,5.0,0.0,1924.0,95.0,12.5,16.25,19.25
130,59.0,570.5,740.75,,5.0,0.0,1923.5,97.0,12.75,16.25,6.25
131,57.75,582.25,730.75,,5.0,0.0,1924.25,96.0,13.0,16.25,3.75
132,60.0,583.25,752.0,0.0,5.0,0.0,1922.5,92.0,12.0,16.75,11.0
133,61.75,581.25,725.25,,5.0,0.0,1922.0,92.0,12.0,16.75,36.25
134,63.5,580.5,713.25,0.0,5.0,0.0,1921.5,90.0,13.0,16.0,47.0
135,65.5,581.75,715.25,,5.0,0.0,1920.5,90.0,13.0,16.5,65.25
136,66.25,574.5,760.0,,5.0,0.0,1920.25,87.0,14.0,17.0,93.75
137,66.25,583.5,766.75,0.0,5.0,0.0,1920.0,87.75,13.25,17.5,127.5
138,67.5,579.5,744.0,,5.0,0.0,1920.5,91.0,13.0,16.75,152.5
139,66.25,584.25,748.75,,5.0,0.0,1921.75,90.0,13.0,16.0,147.75
140,68.0,575.5,745.0,0.0,5.0,0.0,1921.5,92.0,13.0,16.5,161.0
141,68.75,573.25,727.25,,5.0,0.0,1920.75,92.0,12.25,16.5,165.5
142,68.5,579.0,716.75,,5.0,0.0,1920.75,93.0,11.75,15.0,148.5
143,69.25,575.25,691.0,,5.0,0.0,1920.25,93.0,11.0,15.5,109.5
144,69.75,523.5,604.75,,5.0,0.0,1920.75,94.0,10.0,15.0,85.5
145,69.75,459.75,599.5,,5.0,0.0,1922.25,89.75,8.5,15.75,62.25
146,53.0,388.5,600.5,0.0,5.0,0.0,1924.75,82.0,5.25,16.25,38.25
147,43.0,409.25,601.0,0.0,5.0,0.0,1924.5,82.0,5.0,15.25,17.5
148,42.5,399.5,612.25,0.0,5.0,0.0,1923.0,81.0,5.0,15.0,14.0
149,44.0,427.25,588.75,0.0,5.0,0.0,1922.25,91.0,5.75,15.0,10.0
150,55.25,482.0,597.75,,5.0,0.0,1922.0,91.0,9.5,16.75,4.25
151,68.5,468.0,589.25,,5.0,0.0,1923.0,96.0,11.75,16.0,3.5
152,67.5,512.5,612.25,,5.0,0.0,1923.0,93.0,12.5,15.5,3.75
153,65.75,646.5,635.25,0.0,5.0,0.0,1923.75,95.0,13.5,16.5,2.6666666666666665
154,65.5,657.5,663.5,0.0,5.0,0.0,1927.0,97.0,14.0,16.5,
155,62.25,654.0,681.75,0.0,5.0,0.0,1926.75,96.0,14.0,17.0,
156,63.5,657.75,663.0,,5.0,0.0,1926.5,92.0,14.0,16.75,
157,60.5,641.75,630.25,,5.0,0.0,1925.5,92.0,14.0,16.5,
158,62.75,643.0,623.75,,5.0,0.0,1925.5,90.0,14.0,16.75,
159,65.75,644.5,624.75,,5.0,0.0,1924.25,90.0,13.75,17.75,
160,68.0,635.5,659.25,,5.0,0.0,1924.0,87.0,13.75,17.75,
161,68.0,652.25,708.0,,5.0,0.0,1922.75,87.75,14.0,17.5,
162,65.75,664.5,725.5,,5.0,0.0,1922.75,91.0,13.0,14.75,1.0
163,68.0,695.0,711.0,,5.0,0.0,1922.0,90.0,13.0,15.0,1.75
164,67.25,708.5,710.5,,5.0,0.0,1922.25,92.0,13.0,14.5,1.25
165,64.5,699.75,718.75,,5.0,0.0,1924.0,92.0,13.0,15.0,1.0
166,66.0,724.25,721.0,,5.0,0.0,1925.5,93.0,12.75,15.25,2.5
167,67.25,662.25,664.25,,5.0,0.0,1923.75,93.0,11.25,15.75,4.25
168,66.5,563.25,606.25,0.0,5.0,0.0,1923.5,94.0,11.0,14.25,6.0
