,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
5870,385.0,765.0,3403.0,4163.0,218.0,771.0,2896.0,6941.0,8.0,91.0,4499.0,310.0,2437.0
5871,379.0,765.0,3395.0,4215.0,211.0,772.0,2896.0,6937.0,9.0,91.0,4062.0,310.0,2669.0
5872,380.0,765.0,3484.0,4154.0,216.0,756.0,2905.0,6934.0,9.0,91.0,3388.0,319.0,2932.0
5873,377.0,765.0,4045.0,4167.0,219.0,732.0,3024.0,6932.0,9.0,92.0,2442.0,323.0,3022.0
5874,381.0,765.0,5412.0,4153.0,217.0,855.0,3518.0,6931.0,9.0,93.0,1198.0,326.0,3113.0
5875,384.0,765.0,6175.0,4232.0,216.0,856.0,4244.0,6936.0,9.0,93.0,302.0,327.0,2931.0
5876,385.0,765.0,6445.0,4276.0,219.0,849.0,5124.0,6939.0,10.0,92.0,84.0,314.0,3326.0
5877,387.0,765.0,6389.0,4245.0,227.0,840.0,3860.0,6942.0,11.0,91.0,38.0,308.0,3948.0
5878,386.0,760.0,5498.0,4158.0,227.0,745.0,2728.0,6948.0,11.0,87.0,37.0,321.0,4346.0
5879,393.0,722.0,4937.0,4167.0,234.0,731.0,2211.0,6953.0,11.0,89.0,35.0,328.0,4194.0
5880,390.0,723.0,4847.0,4124.0,235.0,698.0,1388.0,6958.0,12.0,91.0,35.0,328.0,3993.0
5881,391.0,757.0,5009.0,4143.0,232.0,670.0,811.0,6957.0,11.0,90.0,34.0,332.0,3628.0
5882,388.0,764.0,4691.0,3980.0,235.0,665.0,560.0,6956.0,11.0,90.0,35.0,334.0,3606.0
5883,388.0,765.0,4803.0,3993.0,236.0,668.0,525.0,6953.0,11.0,89.0,34.0,334.0,3339.0
5884,387.0,737.0,4822.0,4304.0,239.0,668.0,462.0,6952.0,11.0,90.0,34.0,332.0,3441.0
5885,386.0,740.0,5554.0,4736.0,247.0,696.0,1404.0,6956.0,11.0,91.0,34.0,325.0,3347.0
5886,388.0,758.0,7178.0,5135.0,274.0,744.0,2839.0,6961.0,11.0,93.0,35.0,327.0,3142.0
5887,389.0,759.0,7811.0,5347.0,305.0,768.0,3320.0,6966.0,11.0,102.0,245.0,326.0,3172.0
5888,387.0,753.0,7962.0,5471.0,308.0,820.0,3519.0,6971.0,12.0,98.0,829.0,330.0,3083.0
5889,387.0,767.0,8605.0,5105.0,299.0,941.0,4549.0,6973.0,12.0,96.0,1459.0,333.0,2507.0
5890,388.0,766.0,8426.0,5229.0,297.0,937.0,4741.0,6971.0,11.0,97.0,2022.0,331.0,2302.0
