,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
3983,1054.5,12581.5,61.5,0.0,149.0,99.5,6989.0,127.0,0.0,700.0,1704.5
3984,859.5,11064.5,59.0,0.0,149.0,76.0,6985.5,127.5,0.0,636.5,1772.0
3985,865.0,10507.5,27.0,0.0,74.5,75.0,6977.5,127.0,0.0,653.5,1750.0
3986,868.5,10232.0,0.0,0.0,31.0,74.0,6791.0,127.0,2.0,690.5,1881.5
3987,865.5,9641.5,0.0,0.0,0.0,72.5,6789.0,127.5,0.5,658.0,1923.5
3988,868.5,9317.0,0.0,0.0,0.0,71.5,6793.0,127.0,2.5,551.0,2121.5
3989,864.0,8561.5,0.0,0.0,0.0,70.0,6793.5,127.0,67.0,669.5,2365.5
3990,868.5,8795.0,0.0,0.0,0.0,113.0,6833.0,127.0,417.5,621.0,2656.0
3991,864.0,8927.0,0.0,0.0,154.0,177.5,7004.0,127.0,1038.5,802.0,2958.0
3992,851.5,10363.5,0.0,0.0,300.0,274.5,7027.5,126.0,1411.0,786.5,3323.5
3993,851.5,12197.5,0.0,0.0,341.0,201.0,7027.5,127.0,2780.0,825.0,2884.5
3994,844.5,12172.5,0.0,0.0,357.5,160.5,7030.5,128.0,3390.0,990.5,3117.0
3995,845.5,11670.0,0.0,0.0,300.0,115.5,7034.5,127.5,3685.0,1073.5,3299.0
3996,843.5,11198.0,0.0,0.0,408.5,82.5,7032.0,128.0,3945.0,1119.0,3442.0
3997,833.0,10393.5,0.0,0.0,363.0,76.0,7021.0,127.5,4025.0,1140.0,3721.0
3998,838.5,9277.0,0.0,0.0,307.5,77.0,6887.5,127.5,3227.5,1244.5,3838.0
3999,851.5,8541.5,0.0,0.0,367.0,81.0,6813.5,127.5,3765.0,1441.0,3668.5
4000,840.0,8460.5,56.5,0.0,364.0,146.5,6818.0,128.0,3550.0,1758.0,3362.0
4001,843.0,8896.5,249.5,0.0,315.5,227.0,6835.0,127.5,2955.0,2161.0,3422.0
4002,841.5,8846.5,269.0,0.0,328.5,297.0,7028.5,128.0,1950.0,2673.0,3400.5
4003,846.0,8805.0,274.5,0.0,419.0,271.0,7062.5,127.5,997.0,2792.0,3045.0
4004,848.0,8793.0,275.0,0.0,406.0,286.0,7058.5,128.0,319.0,2518.5,2925.5
4005,844.5,8842.0,275.5,0.0,529.0,242.5,7056.0,127.5,204.0,2408.5,2744.5
4006,837.0,9461.5,374.0,0.0,517.0,208.0,7067.5,127.0,1.5,2001.0,2488.0
