,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore
2487,0.8638972831770221,0.5569864064922315,13.549546852816245,1.0003021172591675,0.09093655671216627
2488,0.4402692315749349,0.2630179830255598,6.838467526000504,0.5031648358989567,0.02858891236716173
2489,1.0903276010128996e-09,1.0905865561004928e-09,1.090082257004624e-09,1.090268368875994e-09,1.0946394556145572e-09
2490,2.5477316365439466,1.612488377644453,37.79672756678981,2.934728847123045,0.0644995353281363
2491,0.46036507638540686,0.3379895500921886,6.742308759448173,0.536121354566957,0.011654813317088513
2492,1.9349379704387835,1.4512034779062601,26.605397089596725,2.2251786659582953,0.048373449562190564
2493,3.760279410154881,2.773206065030932,50.57575806460483,4.37132481427923,0.09400698540876318
2494,4.393319028015389e-11,4.393230101741073e-11,4.393608667577268e-11,4.3933531988649396e-11,4.391789261268905e-11
2495,2.290861192220674e-11,2.2908347264849413e-11,2.2909344648634515e-11,2.290869216606811e-11,2.2904283551900246e-11
2496,1.5570693724261622e-11,1.5570568784918167e-11,1.5571021633004868e-11,1.5570729808233373e-11,1.5568858811019446e-11
2497,1.5034023060112095e-11,1.503390334374851e-11,1.5034339030725135e-11,1.5034057663356673e-11,1.503200341823857e-11
2498,1.5320488298295264e-11,1.5320359811439196e-11,1.5320827894943944e-11,1.5320525496432643e-11,1.5318318008899433e-11
2499,1.6055539678426304e-11,1.605541246912686e-11,1.6055916166868504e-11,1.6055583731605538e-11,1.6052760250437308e-11
2500,1.3860212612612273e-11,1.3860178472535692e-11,1.3860485798511754e-11,1.3860244402007428e-11,1.3858120092378566e-11
2501,1.5662057593288308e-11,1.5662090754014787e-11,1.5662421639907978e-11,1.566209957057611e-11,1.5659827308916633e-11
2502,2.6034735694439385e-11,2.6034838230795877e-11,2.6035826755663975e-11,2.6034846599083884e-11,2.6028594831791953e-11
2503,3.250199968799177e-11,3.250216568350815e-11,3.25037695664084e-11,3.2502192452421644e-11,3.2491987704694447e-11
2504,1.238596738349332e-10,1.238601402297569e-10,1.2387624554283512e-10,1.238609943369554e-10,1.2381298094545343e-10
2505,4.823087378590609e-11,4.8230508703359695e-11,4.823437760634002e-11,4.8231269875557935e-11,4.8218205382408215e-11
2506,3.687901989119624e-11,3.687885287528356e-11,3.688104477413966e-11,3.687925501342863e-11,3.6871727975684057e-11
2507,5.0242719777214766e-11,5.024250642326073e-11,5.024649937453837e-11,5.024312191450939e-11,5.023386009450556e-11
2508,6.96499789794386e-11,6.964930521054742e-11,6.965725234611655e-11,6.965072985471545e-11,6.963303463574944e-11
2509,7.947412720127568e-11,7.947325989520281e-11,7.948308148722492e-11,7.947493333194883e-11,7.944827660933865e-11
2510,4.800102240541665e-11,4.8000704096934435e-11,4.800450375582952e-11,4.8001384386075345e-11,4.799368787315616e-11
2511,3.5944809317576723e-11,3.5944724903414606e-11,3.5946705382255225e-11,3.594500838768795e-11,3.593392584574514e-11
2512,4.636751368522269e-11,4.6367445192283415e-11,4.6370684525379654e-11,4.6367872217104334e-11,4.6354362517813536e-11
2513,6.674780578183296e-11,6.67478723480557e-11,6.675500467794381e-11,6.674847993156544e-11,6.671965694628791e-11
2514,8.154401710227736e-11,8.154418935506605e-11,8.155435104153696e-11,8.154497765023213e-11,8.151655408629237e-11
2515,5.135572260246156e-11,5.135580584659138e-11,5.135998604945971e-11,5.135617880697463e-11,5.134509952175149e-11
2516,2.881638093953352e-11,2.881638093953352e-11,2.8817663207509073e-11,2.8816518530124212e-11,2.8812856197605922e-11
2517,3.015387709096751e-11,3.0153788736029273e-11,3.015525322590064e-11,3.015403612770487e-11,3.0151080868727204e-11
2518,1.323635800218986e-11,1.3236274871675335e-11,1.3236594465888215e-11,1.3236385684369791e-11,1.323594344133657e-11
2519,1.2499403525799198e-11,1.24993103153278e-11,1.2499596205433493e-11,1.2499428965424712e-11,1.2499060437834358e-11
2520,1.0484024839670777e-11,1.048396039927275e-11,1.0484157862178199e-11,1.048404235618094e-11,1.0483710441687365e-11
2521,1.001521808141869e-11,1.0015162646270003e-11,1.0015335828236777e-11,1.0015233897962085e-11,1.0014975896685971e-11
2522,1.1686387124962979e-11,1.1686310117866817e-11,1.1686549364017765e-11,1.1686409159669073e-11,1.1686054648852516e-11
2523,1.6841635953890227e-10,1.6841376800456644e-10,1.684363986047746e-10,1.684185699811206e-10,1.6837343658760528e-10
2524,1.8034207843358785,1.7143629678420245,15.273415529030842,2.0705942338174386,0.08905781682935467
2525,4.00900484150793,3.960703578359095,49.7986023066034,4.49201747299628,0.144903789601082
2526,5.425074165541501,5.614320938753934,69.20123673813158,5.866649969703847,0.12616451559331157
2527,10.561268564370087,10.684074012792289,144.7876236898354,11.29810125490329,0.12280544848299794
2528,7.132564237495133,8.002389144496265,106.55355110772413,8.002389144496265,0.008698249155946788
2529,3.722067638246185,4.475904121909511,52.957012977506984,4.287445000993679,0.004711478181860782
2530,3.6935516992989004,4.261790422243697,52.75149478019959,4.261790422243697,0.004735322849367612
2531,6.907067263730693,6.907067263730693,99.65911337556743,7.983493330792628,0.008970217308841295
2532,7.337796345705024,6.468846778459642,109.5841954249114,8.496395768698864,0.009654995269021046
2533,10.441880267359357,9.06794865324028,157.3151698166887,11.953205042890346,0.013739316195561053
2534,9.635658101548705,8.367808351352682,134.26528854581787,11.157077801783934,0.012678497560885052
2535,5.842573204294759,5.141464419790893,78.75788679269667,6.77738491696658,0.07790097615183028
2536,9.515414276244544,8.26338608200969,118.31666435525321,10.892645289902882,0.1252028194831187
2537,19.797499905677817,16.539683465507895,235.81579001540672,22.05291128733392,0.25060126465825605
2538,16.843481749173886,12.684597366670687,194.42784488206053,18.507035502175167,0.4158884382862351
2539,18.338915511926118,12.90516276766149,205.5769788247114,20.37657279102535,0.6792190930660671
2540,18.92279639516601,13.955562341443223,215.719878904564,21.52468089949699,0.4730699099099355
2541,12.576686302484942,9.118097569314651,136.45704638149354,14.463189247850556,0.3144171576084375
2542,3.6353640277044716,2.3629866180654253,31.036920385288063,4.226110682179741,0.09088410085282915
2543,7.777196953759221,4.896753637580913,92.27020089498946,8.929374280230544,0.1920295544896506
2544,13.517734338029214,8.678051673812558,171.0577493387368,15.687247256471164,1.168199263821189
2545,8.31636492649828,5.301682640668699,106.6573801814907,9.563819665462246,0.623727369553821
