,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar
0,2.9321095846244154e-11,2.933083684380889e-11,2.933108255202729e-11,2.932432490344754e-11,2.932417429246568e-11,2.9290320197433886e-11,2.93331678260583e-11,2.926788124614776e-11,2.933453584971563e-11,2.933289636912093e-11,2.932417429246568e-11,2.926788124614776e-11
1,2.7933531243473146e-11,2.7942517145644878e-11,2.7942452564077468e-11,2.7937040424505012e-11,2.7936243150443673e-11,2.7881335441219703e-11,2.7944457723158453e-11,2.7881335441219703e-11,2.7945897681184832e-11,2.794438444074024e-11,2.7936094169726802e-11,2.7881335441219703e-11
2,2.2199650322853016e-11,2.2205413918387746e-11,2.2205361486139394e-11,2.2201974086858514e-11,2.2201455402813026e-11,2.216357743257177e-11,2.220668941013312e-11,2.2154457525055947e-11,2.2207604772384453e-11,2.2206619281475668e-11,2.220135788428478e-11,2.2154457525055947e-11
3,2.0702773188640925e-11,2.0707736200622483e-11,2.0707610351029372e-11,2.0704729281795076e-11,2.0704508691554355e-11,2.0677381988153973e-11,2.070895859108983e-11,2.0659949164031672e-11,2.0709639483269342e-11,2.070878270593016e-11,2.0704263582628673e-11,2.0659949164031672e-11
4,2.0066432250316974e-11,2.007076032007065e-11,2.007045618379614e-11,2.006786075922291e-11,2.0067476983071825e-11,2.002438992086721e-11,2.007207280824766e-11,2.002438992086721e-11,2.0072601819249874e-11,2.0071772187712074e-11,2.0067391229918846e-11,2.002438992086721e-11
5,1.9053829949324695e-11,1.905774759777981e-11,1.9057499123424932e-11,1.9055182164972857e-11,1.9054774152260148e-11,1.9013531972635435e-11,1.9058890541579293e-11,1.9013531972635435e-11,1.9059399818267075e-11,1.9058660595578738e-11,1.9054774152260148e-11,1.9013531972635435e-11
6,2.1380832452778088e-11,2.138587095849928e-11,2.1385457046389243e-11,2.138260006168305e-11,2.138234816031765e-11,2.133678576962549e-11,2.138726641250259e-11,2.133678576962549e-11,2.1387968336485318e-11,2.1387016004824375e-11,2.1382164371731106e-11,2.133678576962549e-11
7,2.0720497541007893e-11,2.0725239133225283e-11,2.07248051705585e-11,2.0722163426083055e-11,2.072192641364417e-11,2.067749049065734e-11,2.0726689957018278e-11,2.067749049065734e-11,2.0727230761098762e-11,2.0726301556558956e-11,2.0721753410357146e-11,2.067749049065734e-11
8,1.912986106674159e-11,1.913391321510459e-11,1.9133513923257145e-11,1.9131288080418173e-11,1.9131155650828902e-11,1.9089520021525478e-11,1.913520760094664e-11,1.9089520021525478e-11,1.9135646041206602e-11,1.9134831608937402e-11,1.9130778264736815e-11,1.9089520021525478e-11
9,2.780425432395121e-11,2.7812580565497575e-11,2.781172740186135e-11,2.7807082223996155e-11,2.7806672047532302e-11,2.7752087761773533e-11,2.781508828119914e-11,2.7752087761773533e-11,2.7816074039952264e-11,2.7814442006411423e-11,2.780621729321884e-11,2.7764110442306938e-11
10,3.5896092903819096e-11,3.590948024657209e-11,3.5908801686705913e-11,3.590057144292544e-11,3.5900170108858863e-11,3.584252602111112e-11,3.591342854083914e-11,3.583173936526199e-11,3.591509264541517e-11,3.591251626438203e-11,3.589928783989289e-11,3.5867718551631023e-11
11,3.739060678248914e-11,3.7405092598191286e-11,3.740463193964511e-11,3.739577615283458e-11,3.739494520678814e-11,3.733850929907318e-11,3.740929631859749e-11,3.733850929907318e-11,3.7411067369948004e-11,3.740833474443976e-11,3.7394251945015145e-11,3.737338469611424e-11
12,4.0749943597179903e-11,4.076668896617364e-11,4.0766342493022263e-11,4.075604838837067e-11,4.075436273223027e-11,4.0703740600354854e-11,4.077166212090609e-11,4.0703740600354854e-11,4.077364528894583e-11,4.077048760063976e-11,4.075381076234796e-11,4.0738254447679395e-11
13,4.2475982455747164e-11,4.249400290093343e-11,4.249389561461247e-11,4.248232569878942e-11,4.248040452725003e-11,4.2434293992431594e-11,4.2499528431076795e-11,4.240817414884604e-11,4.250149381664477e-11,4.2498156655359797e-11,4.248040452725003e-11,4.246349559836367e-11
14,4.57030270623999e-11,4.5723587954337564e-11,4.572370980870953e-11,4.571061357992754e-11,4.570815249812988e-11,4.567342895867255e-11,4.5730014933493615e-11,4.5703559363042075e-11,4.57322157088106e-11,4.5728505185660446e-11,4.570815249812988e-11,4.5684808898128334e-11
