,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,0.2298844680471723,1.5644427234877445,0.15793589675665884,0.19829729040685437,0.3088524121502974,0.010529067904069413,8.775391928094557e-05,0.07458084466062438,0.02018070545375209,1.9698115032555312,0.09300669828004926,0.23251673285055982,8.775391928094557e-05,0.011406489496328418,0.10616802229484501
1,1.9450524573676584e-10,1.9452548847240267e-10,1.9450074273905028e-10,1.945033606804857e-10,1.9450940254233982e-10,1.9443139171509852e-10,1.9522314874361671e-10,1.9448693329928762e-10,1.9444983127254267e-10,1.9452666831339362e-10,1.9449127192699984e-10,1.9450540795022412e-10,1.9522314874361671e-10,1.9443277183796498e-10,1.9449394385190962e-10
2,7.815394905658997e-11,7.815839695841695e-11,7.815246064910577e-11,7.815337197060778e-11,7.815505816652582e-11,7.813353692736986e-11,7.818713128189891e-11,7.814786906294189e-11,7.813843569537296e-11,7.815862017691896e-11,7.814929872548029e-11,7.815401111985082e-11,7.818713128189891e-11,7.81340882536613e-11,7.815030324740177e-11
3,3.744158635510657e-11,3.7442645120009144e-11,3.74412198077174e-11,3.744143667597205e-11,3.744185142394975e-11,3.74343900464386e-11,3.7423185361510584e-11,3.7440093204121444e-11,3.743653301596966e-11,3.74427002723956e-11,3.744045581094625e-11,3.744160098625584e-11,3.7423185361510584e-11,3.743463874491455e-11,3.7440881843207095e-11
4,3.630461970847516e-11,3.630560377718843e-11,3.630429682618543e-11,3.630449764719689e-11,3.630486821232368e-11,3.6297877048688474e-11,3.628607323808366e-11,3.630323580065252e-11,3.629992146380975e-11,3.6305651318395626e-11,3.6303584898146784e-11,3.630462994362042e-11,3.628607323808366e-11,3.6298116984066574e-11,3.6303983223178446e-11
5,3.597218908478686e-11,3.5973162912779055e-11,3.5971875910456616e-11,3.5972089148738955e-11,3.597243204150367e-11,3.596549619380466e-11,3.595344969086206e-11,3.5970820779507675e-11,3.59675321573288e-11,3.597320427800475e-11,3.597117998576258e-11,3.597219583717625e-11,3.595344969086206e-11,3.5965736016110894e-11,3.597143812416079e-11
6,3.571963050306422e-11,3.572057118595977e-11,3.571922049203546e-11,3.5719547839633905e-11,3.57198634128602e-11,3.571305750212771e-11,3.570089990019339e-11,3.5718306935611685e-11,3.571569443820303e-11,3.5720630915874507e-11,3.571869141559307e-11,3.571964371390251e-11,3.570089990019339e-11,3.5713294659098365e-11,3.571884135934556e-11
7,4.8510741719851036e-11,4.851242317268184e-11,4.851008800926863e-11,4.851066164522648e-11,4.851116709899954e-11,4.850023790324751e-11,4.8499885813256157e-11,4.8508523333380906e-11,4.8504907221492094e-11,4.851251983204928e-11,4.8509106270400854e-11,4.8510770829177e-11,4.8489695036589395e-11,4.850052648923938e-11,4.850961418273326e-11
8,1.2387156385577155e-10,1.2388136685876828e-10,1.2386754648132975e-10,1.2387047195491082e-10,1.2387400495579946e-10,1.2383310545700618e-10,1.2407691966590028e-10,1.2386167375728742e-10,1.238507956961772e-10,1.238821003634874e-10,1.2386412324966959e-10,1.2387175495847426e-10,1.2382928077674376e-10,1.238343474324987e-10,1.2386657386846164e-10
9,2.0885619834472895e-10,2.0887656852724672e-10,2.0885016861924685e-10,2.0885434290259544e-10,2.0886078967438164e-10,2.0877690075308097e-10,2.0970453941732877e-10,2.088374949457969e-10,2.0880360983906343e-10,2.0887836565565258e-10,2.0884220484721527e-10,2.0885653634317382e-10,2.088219063020218e-10,2.0877793918807394e-10,2.088504527519665e-10
10,2.3435861984489873e-10,2.3438317743201683e-10,2.3435348839277707e-10,2.3435778946373993e-10,2.3436403895422224e-10,2.342698291678192e-10,2.354542340347915e-10,2.343355815468294e-10,2.3429204156322786e-10,2.3438477064239024e-10,2.3434190649149717e-10,2.343590805306302e-10,2.3434145943377515e-10,2.3426991728067715e-10,2.3435060547377e-10
11,1.358107483079085e-09,1.3581104316763887e-09,1.3582059997031058e-09,1.3581210969871884e-09,1.3580551676460503e-09,1.361013181255686e-09,1.4085040341887217e-09,1.3585881934316468e-09,1.3596816963826066e-09,1.3581243146877494e-09,1.358436406583843e-09,1.3581003331936316e-09,1.3583199702794013e-09,1.3608062507770072e-09,1.3582435197407658e-09
12,3.522874665115518e-10,3.523313093940803e-10,3.5227721790619077e-10,3.5228563069215e-10,3.5229886830093074e-10,3.5221646307086894e-10,3.5492335650612137e-10,3.522380234929065e-10,3.521855284894114e-10,3.5233400378154157e-10,3.5225513480131465e-10,3.5228878491226684e-10,3.5227616080983857e-10,3.5220674181797457e-10,3.522699063187033e-10
13,7.978712560934337e-10,7.980121887924708e-10,7.978538905473006e-10,7.978656972976921e-10,7.978996649023554e-10,7.985862406659176e-10,8.156086620084645e-10,7.978709290002973e-10,7.981746962072654e-10,7.980221235166873e-10,7.978448295096056e-10,7.978741387470452e-10,7.978461338460524e-10,7.985317075970706e-10,7.978428093647659e-10
14,0.30543603249049256,2.090617048244975,0.22560616205538347,0.2834538942544901,0.4072480411638269,0.013883462278125801,0.00011570364138965328,0.09834115122431988,0.028923872611772754,2.7558659685691245,0.14114847304763295,0.31469166964253104,0.13304979054033664,0.015040416916591935,0.1700723391456192
15,7.43888215125602e-10,7.440227866741854e-10,7.438671894050395e-10,7.438818790168584e-10,7.439164607224037e-10,7.444641243317863e-10,7.591294709483683e-10,7.438546756202228e-10,7.440908811084976e-10,7.440338982497346e-10,7.438456587239376e-10,7.438915971241859e-10,7.440798578246949e-10,7.444172791116089e-10,7.43847745154219e-10
