,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore
0,3.7963466292235583e-11,3.7967621759287194e-11,3.7970548231832365e-11,3.7900063990151256e-11,3.7925040265927114e-11,3.7900063990151256e-11,3.797221449414769e-11,3.796119248279643e-11,3.793887212386171e-11,3.794273975276355e-11,3.796172292870353e-11
1,3.2341241307990776e-11,3.2344540977455935e-11,3.234635700193874e-11,3.227776148474558e-11,3.231192987311983e-11,3.227776148474558e-11,3.234762467057906e-11,3.2339733316568776e-11,3.232045251028992e-11,3.2326059147153014e-11,3.234227877203868e-11
2,2.5607558107468935e-11,2.5610551476189827e-11,2.5611642603558674e-11,2.5552678193949077e-11,2.5588384305489184e-11,2.5552678193949077e-11,2.56124221493839e-11,2.5607205410162765e-11,2.559024781617617e-11,2.559826434997125e-11,2.560906344083868e-11
3,2.3755828429475043e-11,2.3758593773835566e-11,2.3759534603727883e-11,2.370442937483242e-11,2.373932027240488e-11,2.370442937483242e-11,2.3760374930830893e-11,2.3755911801835077e-11,2.3740971109189377e-11,2.3748095236916923e-11,2.3757731483439395e-11
4,2.42440800970595e-11,2.4247049038927368e-11,2.4247998473467263e-11,2.419183027264176e-11,2.4227002962488482e-11,2.419183027264176e-11,2.4248874917462054e-11,2.4244400271881257e-11,2.4228711595063046e-11,2.4236085736623406e-11,2.4246089506083786e-11
5,2.375298835672659e-11,2.3755689853014255e-11,2.3756865176718372e-11,2.3701405525331224e-11,2.3736331197621716e-11,2.3701405525331224e-11,2.3757441951156627e-11,2.3753567751762775e-11,2.3738680062585184e-11,2.374534166375962e-11,2.375416250414834e-11
6,2.4049572120116056e-11,2.4051647273601837e-11,2.4052830236213084e-11,2.3997035758769618e-11,2.4032047353884893e-11,2.3997035758769618e-11,2.4053384266688276e-11,2.404961630313752e-11,2.4038640358648083e-11,2.4041675359786827e-11,2.4049534465897524e-11
7,2.4459514902055712e-11,2.446124520878747e-11,2.4462465294597176e-11,2.44057282046621e-11,2.444097628418996e-11,2.44057282046621e-11,2.4463079971432393e-11,2.445910799259623e-11,2.444863443118147e-11,2.4450491928476797e-11,2.4458456314403983e-11
8,2.571954418844755e-11,2.5721600286683154e-11,2.5722879532184384e-11,2.5663391532337555e-11,2.569918699348611e-11,2.5663391532337555e-11,2.5723545864986192e-11,2.5718982534868875e-11,2.570797363522073e-11,2.570941594520159e-11,2.5715625051689474e-11
9,3.7361404940953487e-11,3.7365648119118265e-11,3.73682740000223e-11,3.72977542834369e-11,3.732401240593299e-11,3.72977542834369e-11,3.7369618579965403e-11,3.736018633098423e-11,3.7340466651551603e-11,3.7342714251980876e-11,3.73460788969563e-11
10,4.5082764918961246e-11,4.508866624386648e-11,4.509271172187785e-11,4.503443707810849e-11,4.503237083625924e-11,4.503443707810849e-11,4.509492888167098e-11,4.5080969102133694e-11,4.505505389795476e-11,4.505471747483731e-11,4.507412663076611e-11
11,5.1821889026531023e-11,5.182913655282583e-11,5.183488136739763e-11,5.180452124247578e-11,5.1758500609710976e-11,5.180452124247578e-11,5.183761748075304e-11,5.1819252827626556e-11,5.1786341412398504e-11,5.17887430052865e-11,5.1808744428909276e-11
12,6.001350156191765e-11,6.002308970408759e-11,6.003100519936922e-11,6.005830324157097e-11,5.993411368813203e-11,6.005830324157097e-11,6.003445679340909e-11,6.001090614524405e-11,5.99684706882438e-11,5.997200863362678e-11,5.998496585363232e-11
13,6.02258168716966e-11,6.023564194534321e-11,6.024340077843852e-11,6.027284287974718e-11,6.014624454735743e-11,6.027284287974718e-11,6.024685554584038e-11,6.022298816509679e-11,6.018072792258556e-11,6.01851998919305e-11,6.017615072548672e-11
14,7.43984715611395e-11,7.441223347581806e-11,7.44239497852313e-11,7.46072575329297e-11,7.429143644295334e-11,7.46072575329297e-11,7.442958704728983e-11,7.439492411462134e-11,7.433322553249864e-11,7.433910480187682e-11,7.427068483992467e-11
15,6.86509295001979e-11,6.86636258011095e-11,6.867382190301894e-11,6.878696157556662e-11,6.855474051351906e-11,6.878696157556662e-11,6.867868964286143e-11,6.864699128447335e-11,6.859438725050291e-11,6.859767599912772e-11,6.852938191344753e-11
16,1.8504069507393e-10,1.8510838635403773e-10,1.8515415930335123e-10,1.881634533572864e-10,1.84865635867622e-10,1.881634533572864e-10,1.8518752249910865e-10,1.8502090407544704e-10,1.848595578736634e-10,1.8486299757436135e-10,1.8514576623656386e-10
17,1.5124878891557654,3.5734960636467283,8.860712309702745,0.0012982733693205166,0.06491364376703324,0.0012982733693205166,25.05342062865439,1.1651998975486297,0.18175820168947848,0.20772365900583098,0.035048330210513214
18,1.0372388278496516,2.328316692862889,5.842674406780536,0.0008753077936790563,0.0437653520652229,0.0008753077936790563,16.91749656751237,0.831541676474676,0.11378991423197683,0.1312960547741488,0.045953619632850246
19,0.3621094980827421,0.82332264569257,2.023239165268614,0.00030493686757709714,0.01524671771097743,0.00030493686757709714,5.901241284127108,0.28663825574797186,0.039641462673430716,0.04650248470046482,0.03125576908733921
20,2.0506622393979975e-10,2.0513691931684467e-10,2.0519423225130502e-10,2.0916253008187892e-10,2.049079813573595e-10,2.0916253008187892e-10,2.0523060984097923e-10,2.0504247600275498e-10,2.0488764946056551e-10,2.0489239131234913e-10,2.0489038819141672e-10
21,1.7881840677591028e-10,1.788826351586321e-10,1.789227119596094e-10,1.8167474612273204e-10,1.7864197835307125e-10,1.8167474612273204e-10,1.7895232701624903e-10,1.7879906588288431e-10,1.7864225830378742e-10,1.7864507677602427e-10,1.7864507677602427e-10
22,2.1833612023494822e-10,2.1842112140385555e-10,2.1847975959820903e-10,2.231666388494022e-10,2.1819180664788453e-10,2.231666388494022e-10,2.1852252966398485e-10,2.1831039811564613e-10,2.1816893397915758e-10,2.181644403604265e-10,2.181673328365969e-10
23,1.3978495264690045e-10,1.3982241458875717e-10,1.398543712926853e-10,1.413002781506443e-10,1.3961035155014826e-10,1.413002781506443e-10,1.3987462622672858e-10,1.397718463402864e-10,1.3962510757691418e-10,1.3964102653083427e-10,1.3964521275609424e-10
24,2.102588820076749e-10,2.10334351068141e-10,2.10388854314944e-10,2.1463320121497808e-10,2.1010498417266481e-10,2.1463320121497808e-10,2.1043518753048353e-10,2.1022237527073214e-10,2.1008856247110472e-10,2.1008277932342017e-10,2.1008380047063613e-10
25,4.557975823893025e-10,4.5592771758773854e-10,4.560954995794282e-10,4.827243279493839e-10,4.572524318322457e-10,4.827243279493839e-10,4.5625302373460814e-10,4.557764135406852e-10,4.563819538073083e-10,4.5591267373408357e-10,4.564899608551647e-10
26,2.976861770416704e-10,2.9784934116018586e-10,2.979510550110673e-10,3.083427708161021e-10,2.9780967130119047e-10,3.083427708161021e-10,2.9802416262370326e-10,2.976749670098528e-10,2.977392391998419e-10,2.9760677043995964e-10,2.98185888402473e-10
27,2.8458969692373645e-10,2.8475331905524205e-10,2.8484642602799194e-10,2.9416867483534765e-10,2.846777685856056e-10,2.9416867483534765e-10,2.849095235451116e-10,2.845922047735729e-10,2.8462122419878104e-10,2.845164336015148e-10,2.85786443556396e-10
28,2.2413646176224456e-10,2.2425881926472445e-10,2.2431555074053193e-10,2.2936394713887009e-10,2.2405012312191403e-10,2.2936394713887009e-10,2.2436407777788e-10,2.2414088588877013e-10,2.2403667959572755e-10,2.2401446222768047e-10,2.2410379102405602e-10
29,1.509760136765995e-10,1.5103695244986887e-10,1.5106368252568055e-10,1.5283246635513143e-10,1.5080972809125474e-10,1.5283246635513143e-10,1.5108448998257979e-10,1.5097239395091037e-10,1.5081198356022087e-10,1.50833987305985e-10,1.5084517311900273e-10
30,1.06633734604409e-09,1.0660809204426178e-09,1.0661146859136084e-09,1.2126656032657007e-09,1.0804395725159943e-09,1.2126656032657007e-09,1.0663066717437216e-09,1.0664237535079171e-09,1.0748258758856425e-09,1.0725096722581423e-09,1.0983842704703067e-09
31,0.8439128510698957,3.7030313867410274,6.061986056439267,0.0007275120154097967,0.03637555474368566,0.0007275120154097967,14.070064245090492,0.7202359678475017,0.08730133018402618,0.12003932868270549,0.005456333961937357
32,4.124976942847328,19.136585683021973,34.24925176477665,0.003674812591270598,0.18374062122234783,0.003674812591270598,70.9422537894138,3.5645680486302727,0.4593515528045046,0.6155310807010733,0.39998881055602314
33,7.146078932362756,32.746317744651236,60.85946343421952,0.006282267291958735,0.3141133597580143,0.006282267291958735,121.4519305126298,6.093799177501815,0.8009890672310289,0.9894570830270311,1.2250421027720302
34,7.926696580337745,35.89318018597415,67.80585472982915,0.006862940852434752,0.3431470381957116,0.006862940852434752,132.71211698757293,6.451164316482076,0.8750249472600066,1.0637558182183002,4.512383551183345
35,7.111318576725836,33.321607044866,62.31390585726907,0.006251708738040404,0.31258543203816785,0.006251708738040404,120.92367434595445,5.876606120564189,0.7970928515446779,0.9533855675145171,5.407727972654701
36,10.650940410201201,48.91974599760099,93.48122972665603,0.009322486202069115,0.46612430685536504,0.009322486202069115,180.2036570048013,9.136036413136042,1.1420045516998554,1.468291566452359,10.394572041467097
37,10.605410676545098,49.073281858334354,95.49521104748266,0.009302991887896213,0.4651495911398554,0.009302991887896213,180.12917914332974,8.930872148680024,1.1396164981966563,1.4187062528408416,9.930943769488332
38,9.569452706827212,44.409899146940155,88.01350294379279,0.008487319546709756,0.4243659737645784,0.008487319546709756,164.33572331229834,8.317573084435823,1.060914934302613,1.400407713256222,6.853510475198427
39,12.368848113174623,57.06413987564071,111.85975738986649,0.010802487492171154,0.5401243718088986,0.010802487492171154,208.9471132122626,10.04631331464164,1.2962984922615268,1.8364228640133922,11.909742397185546
40,11.248477063731107,50.51947593513544,92.01056896384276,0.009867085206163317,0.49335425724088944,0.009867085206163317,190.26206928093026,9.225724609299474,1.1347147915729017,1.5293981973156678,14.52928287396778
41,12.999048954528218,59.69411417927472,108.02463458701355,0.011279001316720152,0.5639500631554384,0.011279001316720152,216.64141674022818,10.12290363271412,1.4380726609617118,1.917430214597402,16.805711880458645
42,10.116505867658978,44.29506655148885,86.67561156237396,0.008702370709837454,0.43511853201006245,0.008702370709837454,166.97673663176664,8.267252106917068,1.0225285501281174,1.327111522485618,11.073766637925385
43,9.478131019425746,43.386961821411525,88.79619728696234,0.008170802678609255,0.4085401302197972,0.008170802678609255,156.73642092997719,7.680554446790351,0.9804963124220067,1.286901410030323,9.130871908803
44,5.872951098112672,26.811298490953423,51.89901350737536,0.0051069141200427975,0.2553457000332782,0.0051069141200427975,97.95061048662922,4.800499158479357,0.5745278249241712,0.8426408098325207,6.026158518060288
45,0.9839450462507044,4.51064523134407,7.5184597359688,0.0008612218265275569,0.0430610530416141,0.0008612218265275569,16.528984934146063,0.8095477843505056,0.09473431582391274,0.1399484207598102,1.3155151491226968
46,1.8453362060657276e-10,1.8463269735173706e-10,1.8465131163127505e-10,1.8763445432252067e-10,1.843587314075147e-10,1.8763445432252067e-10,1.846778478094495e-10,1.8451325933469435e-10,1.843559061466413e-10,1.8436148551579826e-10,1.8455912465252434e-10
47,1.452990179382981e-10,1.4536121571558023e-10,1.4537750469211605e-10,1.4696978498645795e-10,1.4512107269722114e-10,1.4696978498645795e-10,1.4539696449082314e-10,1.4528500652648986e-10,1.451334866453733e-10,1.4515025606108895e-10,1.4530969969387627e-10
48,9.371963999085594e-11,9.374659860464822e-11,9.375789584223564e-11,9.422604809970989e-11,9.358190496058909e-11,9.422604809970989e-11,9.37667988198976e-11,9.371581076295408e-11,9.361705268721743e-11,9.363801335028572e-11,9.372144747592227e-11
49,1.252833138186105e-10,1.2532035342825878e-10,1.2534612024238012e-10,1.2642834916344685e-10,1.251164727949838e-10,1.2642834916344685e-10,1.2536102925402506e-10,1.2527688809934596e-10,1.251308532499395e-10,1.25160702405829e-10,1.2526571149415375e-10
50,1.1895189865477072e-10,1.1898752200693635e-10,1.190157056579993e-10,1.1996434164832132e-10,1.1880119482561326e-10,1.1996434164832132e-10,1.1903430196275574e-10,1.1895451101516725e-10,1.18804265216075e-10,1.1884924982489954e-10,1.1893734518437284e-10
51,7.294574169273898e-11,7.29656081726416e-11,7.297811442369165e-11,7.31446823820963e-11,7.285061720953338e-11,7.31446823820963e-11,7.298521934723753e-11,7.295006624758205e-11,7.285061720953338e-11,7.28994008374836e-11,7.293574433717369e-11
