,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
0,1.2370754644780518e-08,1.2343910979613283e-08,1.2319447965816639e-08,1.2485721103001262e-08,1.235079898921485e-08
1,0.15630118847142274,0.4382739075797494,5.493062812274526,0.02252179959031129,0.3292684794202749
2,1.3565754299696077e-09,1.3567112501889429e-09,1.3570475205850087e-09,1.3574855497166165e-09,1.3566543542867957e-09
3,1.0157971057621902e-09,1.0159526910855064e-09,1.016155628408708e-09,1.0161194719716904e-09,1.0159016125961764e-09
4,1.2079177465538094e-09,1.208077183533446e-09,1.2083455971981814e-09,1.2085616313489809e-09,1.208013429556309e-09
5,1.001744015934694e-09,1.0018996646952175e-09,1.002099413334795e-09,1.002061738335991e-09,1.0018390305395756e-09
6,1.2633200209346961e-09,1.263470639181551e-09,1.2637581156584938e-09,1.264089245860775e-09,1.263394366478161e-09
7,1.3437074836808016e-09,1.3438483278350957e-09,1.3441864801888492e-09,1.344623351849865e-09,1.3437679172457488e-09
8,1.0392409123766015e-09,1.0394001525519163e-09,1.0396188128573751e-09,1.0396186265828938e-09,1.0393251875231498e-09
9,1.0121683125375551e-09,1.0123279505288783e-09,1.0125364346323598e-09,1.0125020652552964e-09,1.0122327417308292e-09
10,1.5518232982024788e-08,1.548033735980028e-08,1.544101075798715e-08,1.572277672606629e-08,1.5504783812160428e-08
11,4.6793435224372414e-09,4.676367651918474e-09,4.674514914858519e-09,4.695527544731649e-09,4.678361804545639e-09
12,1.4827800507881506e-08,1.4791637020647194e-08,1.475495937524212e-08,1.501209315669172e-08,1.4819634518774268e-08
13,0.7030024675363341,2.0186213641058304,25.798181847330362,0.09842034866401005,0.8355686464271278
14,0.5574446243267162,1.6036515752387916,20.93372259810469,0.07826586819881771,0.6740447883211638
15,0.5140889142553728,1.484653320406734,20.82060082750509,0.07238608712039442,0.5938613311989811
16,0.4898330858085692,1.4131965938696662,20.993851716880222,0.06897075517175234,0.5447281724155509
17,0.35461651982865827,1.0283878934641297,15.897964855281844,0.04964631916452686,0.37589351057458864
18,0.5137835197836035,1.4870362918962605,22.693083872580385,0.07192969716794032,0.5137835197836035
19,0.2764384327842413,0.7969324926427378,11.555915927579996,0.038701388807546436,0.2661707199195307
20,0.8824363771937751,2.5562841701631402,35.07242105475936,0.12136661030533401,0.7863544797122621
21,0.9531728074524446,2.756031083788758,36.37852093221913,0.13072084453626853,0.7952184569578938
22,1.1474437522235422e-08,1.1450209302073684e-08,1.1430236104216842e-08,1.157466469415186e-08,1.1480720490817727e-08
23,2.489797397895278e-09,2.489044507079858e-09,2.489482112897453e-09,2.493743396659292e-09,2.490111696728099e-09
24,1.0352302700434602e-09,1.0353889650709642e-09,1.035593062356598e-09,1.0355832243516013e-09,1.0352268598881065e-09
25,1.071333788988478e-09,1.0714940475432964e-09,1.0717025251033375e-09,1.071745969448772e-09,1.071315725162538e-09
26,1.3001908495986955e-09,1.300341602384098e-09,1.3006290366936695e-09,1.3009994840105866e-09,1.30019296337956e-09
27,4.996932897685656e-09,4.993510557694282e-09,4.991107344546016e-09,5.0149491843941054e-09,4.997638747267779e-09
28,5.65667408423894e-09,5.652090755943261e-09,5.648648741321733e-09,5.679246404989269e-09,5.657894750528812e-09
29,3.900150731424997e-09,3.898092500552991e-09,3.8973310987583785e-09,3.911005665139073e-09,3.9005767280891e-09
30,1.396283105258759,4.066229549382023,61.98231226768377,0.20964024120589528,1.1352216751668185
31,0.80712640464121,2.439671023849675,46.340030532020506,0.1326156726209816,0.5533274512353289
32,1.771909092940715e-09,1.7719248813125491e-09,1.772628676881567e-09,1.7732718374289625e-09,1.7721850414265256e-09
33,2.773241232873387e-09,2.7721777156820725e-09,2.7730607970928247e-09,2.7766217675932614e-09,2.774360501048203e-09
34,4.873458460352666e-09,4.869940437158638e-09,4.868912337346423e-09,4.886275442815775e-09,4.878246603005314e-09
35,4.044281978529141e-09,4.041875237921801e-09,4.041915232675206e-09,4.05269489432746e-09,4.046728809478268e-09
36,2.7705248592738564e-08,2.7561596252436924e-08,2.742814608738974e-08,2.8187379881266483e-08,2.800949997626988e-08
37,4.35729173728052e-09,4.354640253234799e-09,4.354305222196894e-09,4.367628061030832e-09,4.363402681309072e-09
