,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
122,845.8397017,15752.01201,1144.921143,290.9034333,7479.372611,106.3141062,0.016828688,801.4448002,5411.504832,2200.829359,912.95,34946.04,1.68E-10,0.068828376,1.70E-12
123,817.3637337,14222.35696,931.361465,280.4344191,7302.694669,103.7379355,0.013997732,833.323416,5978.041031,2131.296203,925.01,33525.56,2.08E-10,0.073830806,1.12E-12
124,810.5212013,12662.71451,681.7781928,277.6370966,7296.92982,101.8749024,0.011950442,1064.648705,6234.520124,2074.507768,922.26,32127.32,2.57E-10,0.084274631,2.63E-13
125,836.9009551,12036.57142,597.7863965,341.5922266,7444.433258,103.6163087,0.013864076,1481.371623,6412.824734,2092.123967,922.34,32269.48,2.38E-10,0.094757105,1.59E-12
126,865.6092631,13709.21956,831.3627848,414.5004793,7595.632716,107.4630872,0.018091305,1619.031787,6673.339626,2124.033643,936.31,34876.43,2.07E-10,0.09103567,-6.66E-12
127,918.0195855,15402.46757,851.7320678,615.348278,8019.53894,113.8144173,0.025070788,1760.996698,7057.744579,2446.456756,1003.07,38189.13,1.64E-10,0.083962151,3.40E-12
128,933.0535401,17933.23805,1069.442514,1075.81583,8369.439268,115.9943609,40.7892258,2165.652957,6858.96325,2501.874749,1012.46,42076.67,1.45E-10,0.053748653,-4.80E-12
129,917.4901821,19847.28762,1898.729682,1227.486865,8292.411264,113.7487828,573.7438605,2446.223823,6883.676339,2481.258331,1010.55,45692.56,1.53E-10,0.046747667,-6.08E-12
130,892.3683191,20700.99713,1889.434695,1274.637967,8071.489708,110.7851528,1552.209559,2619.886252,6363.450483,2413.140971,1035.36,46923.71,1.79E-10,0.050239259,-1.68E-12
131,874.6471981,20976.02059,1842.367359,974.8796192,7942.226126,108.5851228,2129.938948,2888.841564,5713.248001,2369.517804,1027.6,46847.82,2.02E-10,0.052335587,-3.75E-12
132,872.1788984,21468.00947,1940.031312,853.0887994,7807.850494,108.5749381,2105.876547,2766.871225,5506.300433,2412.831723,1024.52,46866.08,1.80E-10,0.053834411,6.52E-13
133,877.9327254,20965.27238,1844.255956,852.8489332,7816.587422,108.6964327,1908.757136,3468.730115,5332.097532,2405.384575,1022.84,46603.35,1.83E-10,0.0532034,4.45E-12
